"DO NOT EDIT",,
"VARIABLES","TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)",
2052,"No Image","Tiada Imej"
2053,"File Location is invalid.","Lokasi Fail tidak sah."
2054,"File deleted.","Fail dipadamkan."
2055,"Practice Exercise has already been Completed.","Latihan Amalan telah Diselesaikan."
2056,"You need to review the teaching content.","Anda perlu menyemak kandungan pengajaran."
2057,"Unable to Delete record.","Tidak Dapat Dipadamkan rekod."
2058,"Module is incomplete. Please contact administrator.","Modul tidak lengkap. Sila hubungi pentadbir."
2059,"File does not exist.","Fail tidak wujud."
2060,"Student is currently login on another device.","Pelajar kini sedang log masuk pada peranti lain "
2061,"Client is currently login on another device.","Pelanggan kini sedang log masuk pada peranti lain "
2062,"Admin is currently login on another device.","Pentadbir kini sedang log masuk pada peranti lain "
2063,"User is currently login on another device.","Pengguna kini sedang log masuk pada peranti lain "
2063,"Invalid export file format","Format fail eksport tidak sah."
2064,"File does not exist.","Fail tidak wujud."
2065,"You already have this accessory","Anda sudah mempunyai aksesori ini."
2066,"No Accessories available","Tiada Aksesori"
2067,"This accessory is not available for your avatar","Aksesori ini tidak tersedia untuk avatar anda"
2068,"You do not have enough points to buy this accessory","Anda tidak mempunyai mata yang mencukupi untuk membeli aksesori ini"
2069,"Invalid graph answer.","Jawapan graf yang tidak sah."
2070,"Module is not available","Modul tidak tersedia."
2100,"Reset code is invalid.","Kod penetapan semula tidak sah."
2101,"Password image is invalid.","Imej kata laluan tidak sah."
2102,"Access token expired.","Token akses telah luput."
2103,"Confirmation code is invalid.","Kod pengesahan tidak sah"
2104,"Username already exists.","Nama pengguna sudah wujud."
2105,"School does not exist.","Sekolah tidak wujud."
2106,"Email does not match.","E-mel tidak sepadan."
2107,"Your current email and new email are the same.","E-mel semasa dan e-mel baru anda adalah sama."
2108,"New Email does not exist.","E-mel Baru tidak wujud."
2109,"Your account has already been confirmed.","Akaun anda telah disahkan."
2110,"You have already setup the forgot password steps.","Anda telah menubuhkan langkah-langkah terlupa kata laluan."
2111,"You have already setup the email confirmation steps.","Anda telah menubuhkan langkah-langkah pengesahan e-mel."
2112,"Password must be at least 8 characters and with at least 1 number.","Kata laluan mestilah sekurang-kurangnya 8 aksara dan dengan jumlah sekurang-kurangnya 1."
2113,"Username and password is invalid.","Nama pengguna dan kata laluan tidak sah."
2114,"Your password is incorrect.","Kata laluan anda tidak betul. "
2115,"Contact number format is incorrect.","Format nombor hubungan tidak betul."
2116,"School name is not available.","Tiada nama sekolah."
2117,"The Student has to be 14 years old or above.","Pelajar hendaklah berumur 14 tahun atau ke atas."
2118,"Your account is being reviewed or contact administrator for assistance.","Akaun anda sedang disemak atau hubungi pentadbir untuk mendapatkan bantuan."
2119,"This record is being used.","Rekod ini sedang digunakan."
2120,"This record is invalid.","Rekod ini tidak sah."
2121,"Unable to Delete. Principal is associated to a school.","Tidak Dapat Dipadamkan. Guru besar dikaitkan dengan satu sekolah."
2122,"Unable to Delete. Teacher is associate to a class.","Tidak Dapat Dipadamkan. Guru dikaitkan dengan satu kelas."
2123,"Unable to Delete. Parent is associated to a student.","Tidak Dapat Dipadamkan. Ibu Bapa dikaitkan dengan seorang pelajar."
2124,"Student does not exist.","Pelajar tidak wujud."
2125,"Student is already in a class.","Pelajar sudah berada di dalam kelas."
2126,"Unable to Delete. Student is associated to a Parent.","Tidak Dapat Dipadamkan. Pelajar dikaitkan dengan Ibu Bapa."
2127,"Unable to Delete. Student has Points.","Tidak Dapat Dipadamkan. Pelajar mempunyai Mata."
2128,"Unable to Delete. Student has Badge.","Tidak Dapat Dipadamkan. Pelajar mempunyai Lencana. "
2129,"Unable to Delete. Student has Class.","Tidak Dapat Dipadamkan. Pelajar mempunyai Kelas."
2130,"Parent does not have Student.","Ibu Bapa tidak mempunyai Pelajar."
2131,"Student is already added.","Pelajar telah ditambah."
2132,"Invitation code is invalid.","Kod jemputan tidak sah. "
2133,"Registration token is invalid.","Token pendaftaran tidak sah."
2134,"Can't change School: Student has active Subscription.","Tidak dapat mengubah Sekolah: Pelajar mempunyai Langganan yang aktif."
2135,"The class is already full.","Kelas sudah penuh."
2136,"Unable to Delete.Tip has rating.","Tidak Dapat Dipadamkan. Tip mempunyai penilaian. "
2137,"Unable to delete. Help request has answers.","Tidak Dapat Dipadamkan. Permintaan bantuan mempunyai jawapan."
2138,"Password image is required.","Imej kata laluan diperlukan."
2139,"Points to unlock must be lesser than Points to finish.","Mata untuk membuka mestilah kurang daripada Mata untuk menyelesaikannya."
2140,"Unable to Delete. Module has contents.","Tidak Dapat Dipadamkan. Modul mempunyai kandungan"
2141,"Unable to Delete. Module has questions.","Tidak Dapat Dipadamkan. Modul mempunyai soalan."
2142,"The image must be a file of type: jpeg, jpg, png.","Imej mesti merupakan fail jenis: jpeg, jpg, png. "
2143,"The image size had exceeded 2MB.","Saiz imej telah melebihi 2MB."
2144,"Module does not exist","Modul tidak wujud."
2145,"Student needs to watch the videos again.","Pelajar perlu menonton video ini sekali lagi."
2146,"Prevent having dot for an image file name.","Mengelak daripada mempunyai titik untuk satu nama fail imej."
2147,"Unable to Delete. Subscription already expired.","Tidak Dapat Dipadamkan. Langganan telah luput."
2148,"Unable to generate report.","Tidak dapat menghasilkan laporan."
2149,"The file must be a file of type: csv.","Fail ini mestilah merupakan fail jenis: csv."
2150,"This tip has an existing rating.","Tip ini mempunyai penilaian yang sedia ada."
2151,"This help answer has an existing rating.","Jawapan bantuan ini mempunyai satu penilaian yang sedia ada."
2152,"The new email and the current email are the same.","E-mel baru dan e-mel semasa adalah sama."
2153,"Grade","Gred"
2154,"Country","Negara"
2155,"Subject","Subjek"
2156,"Area","Kawasan"
2157,"School","Sekolah"
2158,"unlock","membuka kunci"
2159,"finish","siap"
2160,"module","modul"
2161,"Module","Modul"
2162,"Question","Soalan"
2163,"Code","Kod"
2164,"Points Equivalent","Mata Setara"
2165,"answer text","teks jawapan"
2166,"image","imej"
2167,"empty","kosong"
2168,"Difficulty","Kesukaran"
2169,"Points earned","Mata yang diperolehi"
2170,"Sequence number","Nombor turutan"
2171,"Answer","Jawapan"
2172,"Description","Keterangan"
2173,"Question order","Urutan soalan"
2174,"Student ID","ID Pelajar"
2175,"Teacher","Guru"
2176,"Client","Pelanggan"
2177,"Number of seats","Bilangan tempat duduk"
2178,"Seats taken","Tempat duduk yang diambil"
2179,"Class name","Nama kelas"
2180,"Class name should be a minimum of 2 characters.","Nama kelas hendaklah sekurang-kurangnya 2 aksara."
2181,"Class name may not be greater than 128 characters.","Nama kelas tidak boleh melebihi 128 aksara."
2182,"Class","Kelas"
2183,"Date range should be today or after the student was added.","Julat tarikh hendaklah pada hari ini atau selepas pelajar ini telah ditambah."
2184,"Client Name","Nama Pelanggan"
2185,"Name","Nama"
2186,"Selected country","Negara yang dipilih"
2187,"Postal Code","Kod Pos"
2188,"Contact number","Nombor Hubungan"
2189,"Password image","Imej kata laluan"
2190,"Grade Code","Kod Gred"
2191,"Group","Kumpulan"
2192,"Student","Pelajar"
2193,"Help request","Permintaan Bantuan"
2194,"Rating","Penilaian"
2195,"User","Pengguna"
2196,"Subject Area","Kawasan Subjek"
2197,"Link","Pautan"
2198,"Invoice","Invois"
2199,"Subscription","Langganan"
2200,"Email already exists.","E-mel sudah wujud."
2201,"Username already exists.","Nama pengguna sudah wujud."
2202,"School Name already exists.","Nama Sekolah sudah wujud."
2203,"Discount","Diskaun"
2204,"Test","Ujian"
2205,"Section","Bahagian"
2206,"Selected Answer","Jawapan yang Dipilih"
2207,"Age","Umur"
2208,"Parent","Ibu Bapa"
2209,"Order","Urutan"
2210,"Badge name","Nama lencana"
2211,"Content","Kandungan"
2212,"Event","Peristiwa"
2213,"Points","Mata"
2214,"Tip","Tip"
2215,"Area Code","Kod Kawasan"
2216,"Subject Code","Kod Subjek"
2217,"Learning Style","Gaya Pembelajaran"
2218,"Media","Media"
2219,"Image","Imej"
2220,"Content URL","URL Kandungan"
2221,"Teaching Module","Modul Pengajaran"
2222,"Minimum Seats already exists.","Tempat Duduk Minimum telah wujud."
"//  Parent Client Error Messages",,
"Error::BILLING_INFO_MISSING ","You need to update your contact information in order to proceed buy a subscription.","Anda perlu mengemas kini maklumat hubungan anda untuk meneruskan pembelian langganan."
"//account status messages",,
2230,"Account is inactive.","Akaun tidak aktif."
2231,"Account Locked","Akaun dikunci."
2232,"Account Deleted","Akaun dipadamkan."
"// login error messages",,
2233,"Password is invalid.","Kata laluan tidak sah."
2234,"Unauthorized Registration","Pendaftaran Tidak Dibenarkan"
"//Announcement messages.",,
2500,"Date range should be between today and future dates.","julat tarikh hendaklah antara hari ini dan tarikh masa depan."
2600,"Cannot delete subject. Subject has subject areas.","Tidak Dapat Dipadamkan subjek. Subjek mempunyai kawasan subjek."
2601,"Cannot delete admin.","Tidak Dapat Dipadamkan pentadbir."
2602,"The school is invalid.","Sekolah ini tidak sah."
"// Custom country messages.",,
2603,"The country field is required.","Medan negara diperlukan."
2604,"The country is invalid","Negara ini tidak sah."
7000,"Hmm, something went wrong. Please contact the system administrator.","Hmm, sesuatu yang tidak kena. Sila hubungi pentadbir sistem."
"//  For subscription request error messages",,
"Error::SUBSCRIPTION_MUST_BE_A_NUMBER ","The :attribute must be a number",":attribute mestilah merupakan satu nombor"
"Error::SUBSCRIPTION_NAME_REQUIRED ","The subscription name field is required","Medan nama langganan diperlukan"
"Error::SUBSCRIPTION_NAME_INVALID ","The subscription name format is invalid","Format nama langganan tidak sah"
"Error::SUBSCRIPTION_LSP_REQUIRED ","The learning style is required","Gaya pembelajaran diperlukan"
"Error::SUBSCRIPTION_LSP_INVALID ","The learning style format is invalid","Format gaya pembelajaran tidak sah"
"//  For trial module error messages",,
"Error::TRIAL_MODULE_MULTIPLE_ANSWERS_REQUIRED ","Answers are required","Jawapan diperlukan"
"Error::TRIAL_MODULE_QUAD_PLOTTING_REQUIRED ","Plot a point to answer","Plot satu titik untuk menjawab"
"Error::TRIAL_MODULE_DRAG_DROP_REQUIRED ","Drag at least one object to answer","Seret sekurang-kurangnya satu objek untuk menjawab"
,,
"Module Names",,
,"Abbreviations","Singkatan"
,"Action Verbs","Kata Kerja Tindakan"
,"Add And Subtract Decimals","Tambah Dan Tolak Perpuluhan"
,"Add And Subtract Fractions With Like Denominators","Tambah Dan Tolak Pecahan Dengan "
,"Add And Subtract Integrers","Tambah Dan Tolak Integer"
,"Addition","Penambahan "
,"Addition And Subtraction","Penambahan Dan Penolakan "
,"Addition large numbers","Penambahan jumlah yang besar"
,"Addition- Skill Builders","Penambahan- Pembina Kemahiran"
,"Addition Three Digit","Penambahan Tiga Digit"
,"Addition Two Digit","Penambahan Dua Digit"
,"Addition, One Digit","Penambahan, Satu Digit"
,"Adjectives","Kata Sifat "
,"Adjectives And Adverbs","Kata Sifat Dan Kata Keterangan"
,"Adjectives Phrases","Frasa Kata Sifat"
,"Adjectives That Compare","Kata Sifat Yang Membandingkan"
,"Adverbs","Kata Keterangan"
,"Adverbs That Compare","Kata Keterangan Yang Membandingkan"
,"Adverbs-Phrases","Frasa Kata Keterangan"
,"Algebra","Algebra"
,"Alphabetical Order","Turutan abjad"
,"Analogies","Analogi"
,"Antonyms","Kata Lawan"
,"Apostrophes","Tanda Kutip"
,"Appositive","Appositive"
,"Articles","Artikel"
,"Basic Verbs","Kata Kerja Asas"
,"Capitalization","Penggunaan Huruf Besar"
,"Classification","Klasifikasi"
,"Colons","Titik Bertindih"
,"Combining Sentences","Ayat-ayat Bergabung"
,"Combining Sentences, Subjects","Ayat-ayat Bergabung, Subjek-subjek"
,"Commas","Tanda koma"
,"Common And Proper Nouns","Kata Nama Biasa Dan Betul"
,"Comparative And Superlative","Komparatif Dan Superlatif"
,"Comparative And Superlative Adjectives","Kata Sifat Komparatif Dan Superlatif"
,"Comparative And Superlative Adverbs","Kata Keterangan Komparatif Dan Superlatif"
,"Compare Fractions","Bandingkan Pecahan"
,"Comparing","Perbandingan"
,"Comparing And Ordering","Perbandingan Dan Susunan "
,"Compound Words","Perkataan Majmuk"
,"Conjuctions","Kata Hubung"
,"Consumer Math","Matematik Pengguna"
,"Contractions","Kontraksi"
,"Coordinate Graphs","Menyelaras Graf"
,"Coordinating Conjuctions","Menyelaraskan Kata Hubung"
,"Cordinate Graphs","Menyelaras Graf"
,"Correlative Conjunctions","Kata Hubung Berpasangan"
,"Counting","Pengiraan "
,"Counting And Patterns","Pengiraan Dan Corak"
,"Dashes","Sengkang"
,"Data Ad Graphs","Data Dan Graf"
,"Data And Graphs","Data Dan Graf-graf"
,"Decimals","Perpuluhan"
,"Describing Words","Menerangkan Perkataan"
,"Dictionary Skills","Kemahiran Kamus"
,"Direct/Indirect Objects","Objek Langsung/Tidak Langsung"
,"Divide Fractions","Bahagi Pecahan"
,"Division","Bahagian"
,"Division With Decimals","Bahagi Dengan Perpuluhan"
,"Double Negatives","Negatif Berganda"
,"Equations And Variables","Persamaan Dan Pembolehubah"
,"Equivalent Fractions","Pecahan Setara"
,"Estimation","Anggaran"
,"Estimation And Rounding","Anggaran Dan Pembundaran"
,"Exclamatory Sentences In Response To Prompts","Kalimat Seruan Dalam Respons Kepada Penggesa"
,"Exponents","Eksponen"
,"Exponents And Square Roots","Eksponen Dan Punca Kuasa Dua"
,"Figures Of Speech","Gambarajah  Ucapan"
,"Formal And Informal Language","Bahasa Formal Dan Tidak Formal"
,"Fraction Equivalence And Ordering","Kesetaraan Pecahan Dan Susunan"
,"Fractions","Pecahan  "
,"Fractions And Mixed Numbers","Pecahan Dan Nombor Bercampur"
,"Frequently Confused Words","Perkataan yang Kerap Dikelirukan"
,"Functions","Fungsi"
,"Future Tense","Kala Mendatang"
,"Geometry","Geometri"
,"Greek And Latin Roots","Punca Bahasa Latin Dan Yunani"
,"Helping Verbs","Kata Kerja Bantu"
,"Homophones","Homofon"
,"Idioms And Adages","Simpulan Bahasa Dan Peribahasa"
,"Inappropriate Pronoun Shifts","Peralihan Kata Ganti Nama yang Tidak Sesuai"
,"Inappropriate Shifts In Verb Tense","Peralihan Kata Ganti Nama Dalam Kala Kata Kerja"
,"Indefinite Pronouns","Kata Ganti Tak Tentu"
,"Integers","Integer"
,"Irregular Past Tense","Kala Lampau Tidak Teratur"
,"Irregular Plural Nouns","Kata Nama Majmuk Tidak Teratur"
,"Irregular Verbs","Kata Kerja Tidak Teratur"
,"Letters","Huruf-huruf"
,"Logical Reasoning","Penaakulan Logik"
,"Measurement","Pengukuran"
,"Measuremnt","Pengukuran"
,"Methaphors","Metafora"
,"Mixed Operations","Operasi Bercampur"
,"Modal Auxiliaries","Modal Auxiliary"
,"Money","Wang"
,"Multiple Meaning Words","Darab Perkataan yang Bermakna"
,"Multiplication","Pendaraban"
,"Multiplication (Intro)","Pendaraban (Pengenalan)"
,"Multiply And Divide Divisions","Darab Dan Bahagi Bahagian"
,"Multiply Decimals","Darab Perpuluhan"
,"Multiply Fractions","Darab Pecahan"
,"Names Of Numbers","Nama-nama Nombor"
,"Nouns","Kata-kata Nama"
,"Number Sense","Celik Nombor"
,"Number Theory","Teori nombor"
,"Numbers And Comparing","Nombor Dan Perbandingan"
,"Operations With Fractions","Operasi Dengan Pecahan"
,"Order Sentences","Ayat-ayat Aturan"
,"Patterns","Corak"
,"Patterns And Sequence","Corak Dan Urutan"
,"Patterns Sequencing","Penjujukan Corak"
,"Perfect Verb Tenses","Kala Kata Kerja Sempurna"
,"Personal Pronouns","Kata Ganti Diri"
,"Personifications","Personifikasi"
,"Place Values","Letakkan Nilai"
,"Place Values And Number Sense","Letakkan Nilai Dan Celik Nombor"
,"Plural Nouns","Kata Nama Majmuk"
,"Possessive Nouns","Kata Nama Posesif"
,"Possessive Pronouns","Kata Ganti Nama Posesif"
,"Prefixes","Awalan"
,"Prefixes And Suffixes","Awalan Dan Akhiran"
,"Prepositions","Kata Sendi"
,"Probability","Kebarangkalian"
,"Probability And Statistics","Kebarangkalian Dan Statistik"
,"Problem Solving","Penyelesaian Masalah"
,"Problem Solving And Estimation","Penyelesaian Masalah Dan Anggaran"
,"Progressive Verb Tenses","Kala Kata Kerja Progresif"
,"Pronouns","Kata Ganti Nama"
,"Pronouns And Antecedents","Kata Ganti Nama Dan Anteseden"
,"Properties","Ciri-ciri"
,"Punctuation","Tanda Baca"
,"Quotations And Dialogue","Petikan Dan Dialog"
,"Rational Numbers","Bilangan Rasional"
,"Ratios , Portions And Percents","Nisbah, Perkadaran dan Peratusan"
,"Reflexive And Intensive Pronouns","Kata Ganti Nama Refleksif Dan Intensif"
,"Reflexive Pronouns","Kata Ganti Nama Refleksif "
,"Regular Past Tense","Kala Lampau Teratur"
,"Regular Plural Nouns","Kata Nama Majmuk Teratur"
,"Relative Pronouns","Kata Ganti Nama Relatif"
,"Relative Pronouns And Relative Adverbs","Kata Ganti Nama Relatif Dan Kata Keterangan Relatif"
,"Restrictive And Nonrestrictive Elements","Unsur Terbatas Dan Tidak Terbatas"
,"Rounding","Pembundaran"
,"Sentence Types","Jenis Ayat"
,"Sentences, Fragments, And Run-Ons","Ayat-ayat, Serpihan, Dan Run-On"
,"Shading Of Meaning","Bebayangan Makna"
,"Similes","Perumpamaan"
,"Similes And Metaphors","Perumpamaan Dan Metafora"
,"Simple Complete Sentences","Ayat Lengkap Ringkas"
,"Simple Predicates","Predikat Ringkas"
,"Simple Verb Tense Review","Semakan Kala Kata Kerja Ringkas"
,"Simple, Compound, And Complex Sentences","Mudah, Majmuk, Dan Ayat Kompleks"
,"Single Nouns","Kata Nama Tunggal"
,"Spatial Sense","Perasaan Spatial"
,"Statistics","Statistik"
,"Subject And Object Pronouns","Kata Ganti Objek Dan Subjek"
,"Subject And Predicate","Subjek dan Predikat"
,"Subject Pronouns","Kata Ganti Nama Subjek"
,"Subject-Verb Agreement","Perjanjian Subjek-Kata Kerja"
,"Subordinating Conjunctions","Mengabaikan Kata Hubung"
,"Subtraction","Penolakan"
,"Subtraction One Digit","Penolakan Satu Digit"
,"Subtraction Three Digit","Penolakan Dua Digit"
,"Subtraction Two Digit","Penolakan Tiga Digit"
,"Suffixes","Akhiran"
,"Synonyms","Sinonim"
,"Thesarus Skills","Kemahiran Tesaurus"
,"Time","Masa"
,"Titles","Tajuk"
,"To Be And To Have","Menjadi Dan Mempunyai"
,"Use of commas","Penggunaan tanda koma"
,"Vague Pronoun References","Rujukan Nama Ganti Diri Samar"
,"Verb Phrases","Frasa Kerja"
,"Verb-Actions Or To Be","Kata kerja-Tindakan Atau Menjadi"
,"Verbs","Kata Kerja"
,"Verbs Infinitive","Kata Kerja Infinitif"
,"Vocab Grade 1 A-C","Gred Kata Perbendaharaan 1 A-C"
,"Vocab Grade 1 D-H","Gred Kata Perbendaharaan 1 D-H"
,"Vocab Grade 1 I-L","Gred Kata Perbendaharaan 1 I-L"
,"Vocab Grade 1 M-P","Gred Kata Perbendaharaan 1 M-P"
,"Vocab Grade 1 Q-T","Gred Kata Perbendaharaan 1 Q-T"
,"Vocab Grade 1 U-Z","Gred Kata Perbendaharaan 1 U-Z"
,"Vocab Grade 2 A-C","Gred Kata Perbendaharaan 2 A-C"
,"Vocab Grade 2 D-H","Gred Kata Perbendaharaan 2 D-H"
,"Vocab Grade 2 I-L","Gred Kata Perbendaharaan 2 I-L"
,"Vocab Grade 2 M-P","Gred Kata Perbendaharaan 2 M-P"
,"Vocab Grade 2 Q-T","Gred Kata Perbendaharaan 2 Q-T"
,"Vocab Grade 2 U-Z","Gred Kata Perbendaharaan 2 U-Z"
,"Vocab Grade 3 A-C","Gred Kata Perbendaharaan 3 A-C"
,"Vocab Grade 3 D-H","Gred Kata Perbendaharaan 3 D-H"
,"Vocab Grade 3 I-L","Gred Kata Perbendaharaan 3 I-L"
,"Vocab Grade 3 M-P","Gred Kata Perbendaharaan 3 M-P"
,"Vocab Grade 3 Q-T","Gred Kata Perbendaharaan 3 Q-T"
,"Vocab Grade 3 U-Z","Gred Kata Perbendaharaan 3 U-Z"
,"Vocab Grade 4 A-C","Gred Kata Perbendaharaan 4 A-C"
,"Vocab Grade 4 D-H","Gred Kata Perbendaharaan 4 D-H"
,"Vocab Grade 4 I-L","Gred Kata Perbendaharaan 4 I-L"
,"Vocab Grade 4 M-P","Gred Kata Perbendaharaan 4 M-P"
,"Vocab Grade 4 Q-T","Gred Kata Perbendaharaan 4 Q-T"
,"Vocab Grade 4 U-Z","Gred Kata Perbendaharaan 4 U-Z"
,"Vocab Grade 5 A-C","Gred Kata Perbendaharaan 5 A-C"
