"DO NOT EDIT",,,
"VARIABLES","TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)","Vietnamese","Comment"
2036,"Client has active transaction.","Khách hàng có giao dịch đang hoạt động.",
2037,"Student has an existing subscription.","Học viên có thuê bao hiện hành.",
2038,"No student added.","Chưa thêm vào học viên nào.",
2039,"Student is not associated to the parent.","Học viên không được liên kết với phụ huynh.",
2040,"Student already exist.","Học viên đã tồn tại.",
2042,"Student has already rated this help request answer.","Học viên đã đánh giá câu trả lời yêu cầu giúp đỡ này.",
2043,"Student cannot rate his/her own help request answer.","Học viên không thể đánh giá câu trả lời yêu cầu giúp đỡ của mình.",
2044,"The Postal Code format is invalid.","Định dạng mã bưu chính không hợp lệ.",
2045,"The Postal Code may not be greater than 10 characters.","Mã bưu chính không được nhiều hơn 10 kí tự.",
2046,"The contact number should not exceed 20 digits.","Số điện thoại liên lạc không nên vượt quá 20 kí tự số.",
2049,"Account has already been registered.","Tài khoản đã được đăng ký.",
2050,"Student has an active subscription.","Học viên có một thuê bao đang hoạt động.",
2051,"Class has already ended.","Lớp học đã kết thúc.",
2052,"No Image","Không có hình ảnh.",
2053,"File Location is invalid.","Vị trí tập tin không hợp lệ.",
2054,"File deleted.","Tập tin đã bị xóa.",
2055,"Practice Exercise has already been Completed.","Bài tập thực hành đã hoàn thành.",
2056,"You need to review the teaching content.","Bạn cần phải ôn tập lại nội dung giảng dạy.",
2057,"Unable to Delete record.","Không thể xóa hồ sơ.",
2058,"Module is incomplete. Please contact administrator.","Học phần chưa hoàn thành. Vui lòng liên hệ quản trị viên.",
2059,"File does not exist.","Tập tin không tồn tại.",
2060,"Student is currently login on another device.","Học viên hiện đang đăng nhập trên một thiết bị khác.",
2061,"Client is currently login on another device.","Khách hiện đang đăng nhập trên một thiết bị khác.",
2062,"Admin is currently login on another device.","Quản trị viên hiện đang đăng nhập trên một thiết bị khác.",
2063,"User is currently login on another device.","Người dùng hiện đang đăng nhập trên một thiết bị khác.",
2063,"Invalid export file format","Định dạng tập tin xuất không hợp lệ.",
2064,"File does not exist.","Tập tin không tồn tại.",
2065,"You already have this accessory","Bạn đã có phụ kiện này",
2066,"No Accessories available","Không có phụ kiện nào khả dụng",
2067,"This accessory is not available for your avatar","Phụ kiện này không khả dụng cho ảnh đại diện của bạn.",
2068,"You do not have enough points to buy this accessory","Bạn không có đủ điểm để mua phụ kiện này",
2069,"Invalid graph answer.","Câu trả lời minh họa bằng biểu đồ không hợp lệ.",
2070,"Module is not available","Học phần không khả dụng",
2100,"Reset code is invalid.","Mã đặt lại không hợp lệ.",
2101,"Password image is invalid.","Hình ảnh mật khẩu không hợp lệ.",
2102,"Access token expired.","Thẻ truy cập đã hết hạn.",
2103,"Confirmation code is invalid.","Mã xác nhận không hợp lệ.",
2104,"Username already exists.","Tên truy nhập đã tồn tại.",
2105,"School does not exist.","Trường học không tồn tại.",
2106,"Email does not match.","Email không trùng khớp.",
2107,"Your current email and new email are the same.","Email hiện hành và email mới của bạn giống nhau.",
2108,"New Email does not exist.","Email mới không tồn tại.",
2109,"Your account has already been confirmed.","Tài khoản của bạn đã được xác nhận.",
2110,"You have already setup the forgot password steps.","Bạn đã thiết lập các bước quên mật khẩu.",
2111,"You have already setup the email confirmation steps.","Bạn đã thiết lập các bước xác nhận email.",
2112,"Password must be at least 8 characters and with at least 1 number.","Mật khẩu phải có ít nhất 8 kí tự và trong đó có ít nhất 1 kí tự số.",
2113,"Username and password is invalid.","Tên truy nhập và mật khẩu không hợp lệ.",
2114,"Your password is incorrect.","Mật khẩu của bạn không đúng.",
2115,"Contact number format is incorrect.","Định dạng số điện thoại liên lạc không đúng.",
2116,"School name is not available.","Tên trường không hiện hành.",
2117,"The Student has to be 14 years old or above.","Học viên phải từ 14 tuổi trở lên.",
2118,"Your account is being reviewed or contact administrator for assistance.","Tài khoản của bạn đang được xem xét lại hoặc hãy liên hệ quản trị viên để được trợ giúp.",
2119,"This record is being used.","Hồ sơ này đang được sử dụng.",
2120,"This record is invalid.","Hồ sơ này không hợp lệ.",
2121,"Unable to Delete. Principal is associated to a school.","Không thể xoá. Hiệu trưởng được liên kết với trường học.",
2122,"Unable to Delete. Teacher is associate to a class.","Không thể xoá. Giáo viên được liên kết với lớp học.","associated instead of associate I think"
2123,"Unable to Delete. Parent is associated to a student.","Không thể xoá. Phụ huynh được liên kết với học viên.",
2124,"Student does not exist.","Học viên không tồn tại.",
2125,"Student is already in a class.","Học viên hiện đang trong danh sách lớp.",
2126,"Unable to Delete. Student is associated to a Parent.","Không thể xoá. Học viên được liên kết với phụ huynh.",
2127,"Unable to Delete. Student has Points.","Không thể xoá. Học sinh có điểm.",
2128,"Unable to Delete. Student has Badge.","Không thể xoá. Học sinh có huy hiệu.",
2129,"Unable to Delete. Student has Class.","Không thể xoá. Học sinh có lớp học.",
2130,"Parent does not have Student.","Phụ hyunh không có học viên nào.",
2131,"Student is already added.","Học viên đã được thêm vào.",
2132,"Invitation code is invalid.","Mã thư mời không hợp lệ.",
2133,"Registration token is invalid.","Thẻ đăng ký không hợp lệ.",
2134,"Can't change School: Student has active Subscription.","Không thể thay đổi trường học: học viên hiện có thuê bao đang hoạt động.",
2135,"The class is already full.","Lớp học đã hết chỗ.",
2136,"Unable to Delete.Tip has rating.","Không thể xóa. Mẹo này đã có đánh giá.",
2137,"Unable to delete. Help request has answers.","Không thể xoá. Yêu cầu giúp đỡ đã được trả lời.",
2138,"Password image is required.","Hình ảnh mật khẩu là bắt buộc.",
2139,"Points to unlock must be lesser than Points to finish.","Điểm để mở khoá phải thấp hơn điểm kết thúc.",
2140,"Unable to Delete. Module has contents.","Không thể xoá. Học phần có nội dung.",
2141,"Unable to Delete. Module has questions.","Không thể xoá. Học phần có câu hỏi.",
2142,"The image must be a file of type: jpeg, jpg, png.","Hình ảnh phải là tập tin ở dạng: jpeg, jpg, png.",
2143,"The image size had exceeded 2MB.","Kích cỡ hình ảnh đã vượt quá 2MB.",
2144,"Module does not exist","Học phần không tồn tại.",
2145,"Student needs to watch the videos again.","Học viên cần phải xem lại các đoạn video.",
2146,"Prevent having dot for an image file name.","Tránh thêm dấu chấm vào tên tập tin hình ảnh.",
2147,"Unable to Delete. Subscription already expired.","Không thể xóa. Thuê bao này đã hết hạn.",
2148,"Unable to generate report.","Không thể tạo báo cáo.",
2149,"The file must be a file of type: csv.","Tập tin phải ở định dạng csv.",
2150,"This tip has an existing rating.","Mẹo này có một đánh giá hiện hành.",
2151,"This help answer has an existing rating.","Câu trả lời yêu cầu giúp đỡ này có một đánh giá hiện hành.",
2152,"The new email and the current email are the same.","Email mới và email hiện hành giống nhau.",
2153,"Grade","Lớp",
2154,"Country","Quốc gia",
2155,"Subject","Môn học",
2156,"Area","Khu vực",
2157,"School","Trường học",
2158,"unlock","mở khóa",
2159,"finish","kết thúc",
2160,"module","mô-đun",
2161,"Module","Học phần",
2162,"Question","Câu hỏi",
2163,"Code","Mã",
2164,"Points Equivalent","Điểm tương đương",
2165,"answer text","Văn bản trả lời",
2166,"image","hình ảnh",
2167,"empty","trống",
2168,"Difficulty","Độ khó",
2169,"Points earned","Điểm đạt được",
2170,"Sequence number","Dãy số",
2171,"Answer","Câu trả lời",
2172,"Description","Mô tả",
2173,"Question order","Thứ tự câu hỏi",
2174,"Student ID","Thẻ học viên",
2175,"Teacher","Giáo viên",
2176,"Client","Khách hàng",
2177,"Number of seats","Số lượng chỗ ngồi",
2178,"Seats taken","Chỗ đã có người ngồi",
2179,"Class name","Tên lớp",
2180,"Class name should be a minimum of 2 characters.","Tên lớp phải có ít nhất 2 kí tự.",
2181,"Class name may not be greater than 128 characters.","Tên lớp không được nhiều hơn 128 kí tự.",
2182,"Class","Lớp học",
2183,"Date range should be today or after the student was added.","Phạm vi ngày giờ phải được tính từ hôm nay hoặc sau khi học viên được thêm vào.",
2184,"Client Name","Tên khách hàng",
2185,"Name","Tên",
2186,"Selected country","Quốc gia đã chọn",
2187,"Postal Code","Mã bưu chính",
2188,"Contact number","Số điện thoại liên lạc",
2189,"Password image","Hình ảnh mật khẩu",
2190,"Grade Code","Mã lớp",
2191,"Group","Nhóm",
2192,"Student","Học viên",
2193,"Help request","Yêu cầu giúp đỡ",
2194,"Rating","Đánh giá",
2195,"User","Người dùng",
2196,"Subject Area","Phạm vi môn học",
2197,"Link","Liên kết",
2198,"Invoice","Hóa đơn",
2199,"Subscription","Thuê bao",
2200,"Email already exists.","Email đã tồn tại.",
2201,"Username already exists.","Tên truy nhập đã tồn tại.",
2202,"School Name already exists.","Tên trường đã tồn tại.",
2203,"Discount","Chiết khấu",
2204,"Test","Kiểm tra",
2205,"Section","Phạm vi",
2206,"Selected Answer","Câu trả lời đã chọn",
2207,"Age","Tuổi",
2208,"Parent","Phụ huynh",
2209,"Order","Thứ tự",
2210,"Badge name","Tên huy hiệu",
2211,"Content","Nội dung",
2212,"Event","Sự kiện",
2213,"Points","Điểm",
2214,"Tip","Mẹo",
2215,"Area Code","Mã vùng",
2216,"Subject Code","Mã môn học",
2217,"Learning Style","Phong cách học tập",
2218,"Media","Phương tiện truyền thông",
2219,"Image","Hình ảnh",
2220,"Content URL","URL nội dung",
2221,"Teaching Module","Học phần giảng dạy",
2222,"Minimum Seats already exists.","Lượng ghế tối thiểu đã tồn tại.",
"//  Parent Client Error Messages",,,
"Error::BILLING_INFO_MISSING ","You need to update your contact information in order to proceed buy a subscription.","Bạn cần cập nhật thông tin liên lạc của mình để tiến hành mua một thuê bao.",
"//account status messages",,,
2230,"Account is inactive.","Tài khoản không hoạt động.",
2231,"Account Locked","Tài khoản bị khóa",
2232,"Account Deleted","Tài khoản bị xóa",
"// login error messages",,,
2233,"Password is invalid.","Mật khẩu không hợp lệ.",
2234,"Unauthorized Registration","Đăng ký trái phép",
"//Announcement messages.",,,
2500,"Date range should be between today and future dates.","Phạm vi ngày giờ phải là khoảng giữa hôm nay và ngày giờ trong tương lai.",
2600,"Cannot delete subject. Subject has subject areas.","Không thể xóa môn học. Môn học này có các phạm vi môn học.",
2601,"Cannot delete admin.","Không thể xóa quản trị viên.",
2602,"The school is invalid.","Trường học không hợp lệ.",
"// Custom country messages.",,,
2603,"The country field is required.","Phạm vi quốc gia là bắt buộc.",
2604,"The country is invalid","Quốc gia không hợp lệ",
7000,"Hmm, something went wrong. Please contact the system administrator.","Hmm, có một số trục trặc. Vui lòng liên hệ với quản trị viên hệ thống.",
"//  For subscription request error messages",,,
"Error::SUBSCRIPTION_MUST_BE_A_NUMBER ","The :attribute must be a number",":attribute phải là một con số.",
"Error::SUBSCRIPTION_NAME_REQUIRED ","The subscription name field is required","Phạm vi tên thuê bao là bắt buộc",
"Error::SUBSCRIPTION_NAME_INVALID ","The subscription name format is invalid","Định dạng tên thuê bao không hợp lệ",
"Error::SUBSCRIPTION_LSP_REQUIRED ","The learning style is required","Phong cách học tập là bắt buộc",
"Error::SUBSCRIPTION_LSP_INVALID ","The learning style format is invalid","Định dạng phong cách học tập không hợp lệ",
"//  For trial module error messages",,,
"Error::TRIAL_MODULE_MULTIPLE_ANSWERS_REQUIRED ","Answers are required","Câu trả lời là bắt buộc",
"Error::TRIAL_MODULE_QUAD_PLOTTING_REQUIRED ","Plot a point to answer","Vẽ một điểm ra để trả lời",
"Error::TRIAL_MODULE_DRAG_DROP_REQUIRED ","Drag at least one object to answer","Kéo chọn ít nhất một câu để trả lời",
,,,
"Module Names",,,
,"Abbreviations","Từ viết tắt",
,"Action Verbs","Động từ hành động",
,"Add And Subtract Decimals","Cộng và trừ số thập phân",
,"Add And Subtract Fractions With Like Denominators","Cộng và trừ phân số có cùng mẫu số",
,"Add And Subtract Integrers","Cộng và trừ số nguyên",
,"Addition","Phép cộng",
,"Addition And Subtraction","Phép cộng và phép trừ",
,"Addition large numbers","Phép cộng các số lớn",
,"Addition- Skill Builders","Phép cộng - Tạo dựng kỹ năng",
,"Addition Three Digit","Phép cộng số có 3 chữ số",
,"Addition Two Digit","Phép cộng số có 2 chữ số",
,"Addition, One Digit","Phép cộng số có 1 chữ số",
,"Adjectives","Tính từ",
,"Adjectives And Adverbs","Tính từ và Trạng từ",
,"Adjectives Phrases","Cụm tính từ",
,"Adjectives That Compare","Tính từ so sánh",
,"Adverbs","Trạng từ",
,"Adverbs That Compare","Trạng từ so sánh",
,"Adverbs-Phrases","Cụm trạng từ",
,"Algebra","Đại số",
,"Alphabetical Order","Thứ tự ABC",
,"Analogies","Phép loại suy",
,"Antonyms","Từ trái nghĩa",
,"Apostrophes","Dấu nháy",
,"Appositive","Đồng vị ngữ",
,"Articles","Mạo từ",
,"Basic Verbs","Động từ cơ bản",
,"Capitalization","Chữ viết hoa",
,"Classification","Phân loại",
,"Colons","Dấu hai chấm",
,"Combining Sentences","Nối câu",
,"Combining Sentences, Subjects","Nối câu, chủ ngữ",
,"Commas","Dấu phẩy",
,"Common And Proper Nouns","Danh từ chung và danh từ riêng",
,"Comparative And Superlative","So sánh hơn và So sánh nhất",
,"Comparative And Superlative Adjectives","Tính từ so sánh hơn và tính so sánh nhất",
,"Comparative And Superlative Adverbs","Trạng từ so sánh hơn và so sánh nhất",
,"Compare Fractions","So sánh phân số",
,"Comparing","So sánh",
,"Comparing And Ordering","So sánh và sắp xếp",
,"Compound Words","Từ ghép",
,"Conjuctions","Liên từ","Conjunctions right?"
,"Consumer Math","Toán dành cho người tiêu dùng",
,"Contractions","Dạng rút gọn",
,"Coordinate Graphs","Đồ thị",
,"Coordinating Conjuctions","Liên từ kết hợp",
,"Cordinate Graphs","Đồ thị","Coordinate instead of Cordinate IMO"
,"Correlative Conjunctions","Liên từ phụ thuộc",
,"Counting","Đếm số",
,"Counting And Patterns","Đếm số và quy luật",
,"Dashes","Dấu gạch ngang",
,"Data Ad Graphs","Số liệu và đồ thị","And instead of Ad right?"
,"Data And Graphs","Số liệu và đồ thị",
,"Decimals","Số thập phân",
,"Describing Words","Mô tả từ",
,"Dictionary Skills","Kỹ năng tra từ điển",
,"Direct/Indirect Objects","Tân ngữ trực tiếp / gián tiếp",
,"Divide Fractions","Chia phân số",
,"Division","Phép chia",
,"Division With Decimals","Phép chia số thập phân",
,"Double Negatives","Phủ định kép",
,"Equations And Variables","Phương trình và biến số",
,"Equivalent Fractions","Phân số tương đương",
,"Estimation","Ước tính",
,"Estimation And Rounding","Ước tính và làm tròn",
,"Exclamatory Sentences In Response To Prompts","Dùng câu cảm thán trong phản hồi như lời nhắc nhở",
,"Exponents","Lũy thừa",
,"Exponents And Square Roots","Lũy thừa và căn bậc",
,"Figures Of Speech","Hình thái tu từ",
,"Formal And Informal Language","Ngôn ngữ trang trọng và ngôn ngữ thân mật",
,"Fraction Equivalence And Ordering","Phân số tương đương và sắp xếp",
,"Fractions","Phân số",
,"Fractions And Mixed Numbers","Phân số và hỗn số",
,"Frequently Confused Words","Những từ thường bị nhầm lẫn",
,"Functions","Hàm số",
,"Future Tense","Thì tương lai",
,"Geometry","Hình học",
,"Greek And Latin Roots","Từ gốc Hy Lạp và Latin",
,"Helping Verbs","Trợ động từ",
,"Homophones","Từ đồng âm",
,"Idioms And Adages","Thành ngữ và châm ngôn",
,"Inappropriate Pronoun Shifts","Lỗi chuyển đổi đại từ không phù hợp",
,"Inappropriate Shifts In Verb Tense","Lỗi chuyển đổi trong thì động từ",
,"Indefinite Pronouns","Đại từ không xác định",
,"Integers","Số nguyên",
,"Irregular Past Tense","Thì quá khứ bất quy tắc",
,"Irregular Plural Nouns","Danh từ bất quy tắc",
,"Irregular Verbs","Động từ bất quy tắc",
,"Letters","Kí tự",
,"Logical Reasoning","Suy luận logic",
,"Measurement","Phép đo lường",
,"Measuremnt","Phép đo lường","Measurement"
,"Methaphors","Phép ẩn dụ","Metaphors"
,"Mixed Operations","Phép tính hỗn hợp",
,"Modal Auxiliaries","Động từ khiếm khuyết",
,"Money","Tiền",
,"Multiple Meaning Words","Từ đa nghĩa",
,"Multiplication","Phép nhân",
,"Multiplication (Intro)","Phép nhân (Intro)",
,"Multiply And Divide Divisions","Nhân và chia Phép chia",
,"Multiply Decimals","Nhân số thập phân",
,"Multiply Fractions","Nhân phân số",
,"Names Of Numbers","Viết số bằng chữ",
,"Nouns","Danh từ",
,"Number Sense","Ý nghĩa con số",
,"Number Theory","Lý thuyết số",
,"Numbers And Comparing","Chữ số và so sánh",
,"Operations With Fractions","Phép tính với phân số",
,"Order Sentences","Thứ tự câu",
,"Patterns","Quy luật",
,"Patterns And Sequence","Quy luật và dãy số",
,"Patterns Sequencing","Sắp xếp chuỗi theo quy luật",
,"Perfect Verb Tenses","Thì động từ hoàn thành",
,"Personal Pronouns","Đại từ nhân xưng",
,"Personifications","Phép nhân hóa",
,"Place Values","Giá trị hàng chữ số",
,"Place Values And Number Sense","Giá trị hàng chữ số và ý nghĩa con số",
,"Plural Nouns","Danh từ số nhiều",
,"Possessive Nouns","Danh từ sở hữu",
,"Possessive Pronouns","Đại từ sở hữu",
,"Prefixes","Tiền tố",
,"Prefixes And Suffixes","Tiền tố và Hậu tố",
,"Prepositions","Giới từ",
,"Probability","Xác xuất",
,"Probability And Statistics","Xác xuất và thống kê",
,"Problem Solving","Giải quyết vấn đề",
,"Problem Solving And Estimation","Giải quyết vấn đề và ước tính",
,"Progressive Verb Tenses","Thì động từ tiếp diễn",
,"Pronouns","Đại từ",
,"Pronouns And Antecedents","Đại từ và Tiền đề",
,"Properties","Đặc tính",
,"Punctuation","Phép chấm câu",
,"Quotations And Dialogue","Trích dẫn và hội thoại",
,"Rational Numbers","Số hữu tỉ",
,"Ratios , Portions And Percents","Tỷ lệ, quy tắc tam suất và phần trăm","Should it be ""Ratios , Proportions And Percents"" ?"
,"Reflexive And Intensive Pronouns","Đại từ phản thân và đại từ nhấn mạnh",
,"Reflexive Pronouns","Đại từ phản thân",
,"Regular Past Tense","Thì quá khứ đơn",
,"Regular Plural Nouns","Danh từ số nhiều theo quy tắc",
,"Relative Pronouns","Đại từ quan hệ",
,"Relative Pronouns And Relative Adverbs","Đại từ quan hệ và trạng từ quan hệ",
,"Restrictive And Nonrestrictive Elements","Yếu tố giới hạn và yếu tố không giới hạn",
,"Rounding","Làm tròn",
,"Sentence Types","Kiểu câu",
,"Sentences, Fragments, And Run-Ons","Câu, câu không hoàn chỉnh và câu không ngắt dấu",
,"Shading Of Meaning","Nghĩa bóng",
,"Similes","Phép so sánh",
,"Similes And Metaphors","Phép so sánh và ẩn dụ",
,"Simple Complete Sentences","Câu đơn hoàn thành",
,"Simple Predicates","Vị ngữ đơn",
,"Simple Verb Tense Review","Ôn tập thì động từ đơn",
,"Simple, Compound, And Complex Sentences","Câu đơn, câu ghép và câu phức",
,"Single Nouns","Danh từ đơn",
,"Spatial Sense","Định hướng không gian",
,"Statistics","Thống kê",
,"Subject And Object Pronouns","Đại từ chủ ngữ và đại từ tân ngữ",
,"Subject And Predicate","Chủ ngữ và Vị ngữ",
,"Subject Pronouns","Đại từ chủ ngữ",
,"Subject-Verb Agreement","Hòa hợp chủ ngữ - vị ngữ",
,"Subordinating Conjunctions","Liên từ phụ thuộc",
,"Subtraction","Phép trừ",
,"Subtraction One Digit","Phép trừ số có 1 chữ số",
,"Subtraction Three Digit","Phép trừ số có 3 chữ số",
,"Subtraction Two Digit","Phép trừ số có 2 chữ số",
,"Suffixes","Hậu tố",
,"Synonyms","Từ đồng nghĩa",
,"Thesarus Skills","Kỹ năng tra từ điển đồng nghĩa - trái nghĩa","Thesaurus I think"
,"Time","Thời gian",
,"Titles","Tiêu đề",
,"To Be And To Have","To Be và To Have",
,"Use of commas","Cách dùng dấu câu",
,"Vague Pronoun References","Dẫn chứng đại từ không rõ ràng",
,"Verb Phrases","Cụm động từ",
,"Verb-Actions Or To Be","Động từ hành động hoặc To Be",
,"Verbs","Động từ",
,"Verbs Infinitive","Động từ nguyên mẫu",
,"Vocab Grade 1 A-C","Từ vựng lớp 1 A-C",
,"Vocab Grade 1 D-H","Từ vựng lớp 1 D-H",
,"Vocab Grade 1 I-L","Từ vựng lớp 1 I-L",
,"Vocab Grade 1 M-P","Từ vựng lớp 1 M-P",
,"Vocab Grade 1 Q-T","Từ vựng lớp 1 Q-T",
,"Vocab Grade 1 U-Z","Từ vựng lớp 1 U-Z",
,"Vocab Grade 2 A-C","Từ vựng lớp 2 A-C",
,"Vocab Grade 2 D-H","Từ vựng lớp 2 D-H",
,"Vocab Grade 2 I-L","Từ vựng lớp 2 I-L",
,"Vocab Grade 2 M-P","Từ vựng lớp 2 M-P",
,"Vocab Grade 2 Q-T","Từ vựng lớp 2 Q-T",
,"Vocab Grade 2 U-Z","Từ vựng lớp 2 U-Z",
,"Vocab Grade 3 A-C","Từ vựng lớp 3 A-C",
,"Vocab Grade 3 D-H","Từ vựng lớp 3 D-H",
,"Vocab Grade 3 I-L","Từ vựng lớp 3 I-L",
,"Vocab Grade 3 M-P","Từ vựng lớp 3 M-P",
,"Vocab Grade 3 Q-T","Từ vựng lớp 3 Q-T",
,"Vocab Grade 3 U-Z","Từ vựng lớp 3 U-Z",
,"Vocab Grade 4 A-C","Từ vựng lớp 4 A-C",
