"DO NOT EDIT",,,,,
"VARIABLES","TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)",,,,
2034,"Username/Email or password is invalid. Have you verified your email? Please check your inbox. Your account may have been locked, please click on forgot password to reset your password.","ชื่อผู้ใช้งาน/อีเมลล์ หรือ รหัสผ่านไม่ถูกต้อง คุณได้ทำการยืนยันอีเมลล์หรือยัง? โปรดตรวจสอบกล่องข้อความขาเข้าของคุณ บัญชีของคุณอาจถูกระงับ โปรดคลิ๊ก ลืมรหัสผ่าน เพื่อตั้งค่ารหัสผ่านใหม่",,,
2035,"Account has been locked. Please click on forgot password to reset your password.","บัญชีถูกระงับ โปรดคลิ๊ก ลืมรหัสผ่าน เพื่อตั้งค่ารหัสผ่านใหม่",,,
2036,"Client has active transaction.","ผู้รับบริการมีธุรกรรมที่กำลังดำเนินการ",,,
2037,"Student has an existing subscription.","ผู้เรียนมีคำสั่งซื้อปรากฏอยู่",,,
2038,"No student added.","ไม่มีการเพิ่มผู้เรียน",,,
2039,"Student is not associated to the parent.","ผู้เรียนไม่มีส่วนเกี่ยวข้องกับผู้ปกครอง",,,
2040,"Student already exist.","ปรากฏผู้เรียน",,,
2042,"Student has already rated this help request answer.","ผู้เรียนได้ทำการเพิ่มความนิยมให้กับคำตอบนี้แล้ว",,,
2043,"Student cannot rate his/her own help request answer.","ผู้เรียนไม่สามารถเมคะแนนความนิยมให้คำตอบของตนเองได้",,,
2044,"The Postal Code format is invalid.","รูปแบบรหัสไปรษณีย์ไม่ถูกต้อง",,,
2045,"The Postal Code may not be greater than 10 characters.","รหัสไปรษณีย์ไม่ควรเกิน 10 ตัวอักษร",,,
2046,"The contact number should not exceed 20 digits.","เบอร์ที่ติดต่อได้ไม่ควรเกิน 20 หลัก",,,
2049,"Account has already been registered.","บัญชีนี้ได้มีการสมัครใช้งานแล้ว",,,
2050,"Student has an active subscription.","ผู้เรียนมีคำสั่งซื้อที่กำลังดำเนินการอยู่",,,
2051,"Class has already ended.","คลาสเรียนเลิกแล้ว",,,
2052,"No Image","ไม่มีรูปภาพ",,,
2053,"File Location is invalid.","ตำแหน่งของไฟล์ไม่ถูกต้อง",,,
2054,"File deleted.","ไฟล์ถูกลบไปแล้ว",,,
2055,"Practice Exercise has already been Completed.","บททวนแบบฝึกหัดเรียบร้อยแล้ว",,,
2056,"You need to review the teaching content.","คุณต้องทบทวนบทเรียน",,,
2057,"Unable to Delete record.","ไม่สามารถลบบันทึกได้",,,
2058,"Module is incomplete. Please contact administrator.","หลักสูตรไม่สมบูรณ์ กรุณาติดต่อผู้ดูแล",,,
2059,"File does not exist.","ไม่มีไฟล์นี้ในระบบ",,,
2060,"Student is currently login on another device.","ขณะนี้ผู้เรียนได้เข้าสู่ระบบด้วยอุปกรณ์อื่น",,,
2061,"Client is currently login on another device.","ขณะนี้ผู้รับบริการได้เข้าสู่ระบบด้วยอุปกรณ์อื่น",,,
2062,"Admin is currently login on another device.","ขณะนี้ผู้ดูแลได้เข้าสู่ระบบด้วยอุปกรณ์อื่น",,,
2063,"User is currently login on another device.","ขณะนี้ผู้ใช้งานได้เข้าสู่ระบบด้วยอุปกรณ์อื่น",,,
2063,"Invalid export file format","การนำออกรูปแบบไฟล์ไม่สำเร็จ",,,
2064,"File does not exist.","ไม่มีไฟล์นี้ในระบบ",,,
2065,"You already have this accessory","คุณได้รับส่วนเสริมนี้แล้ว",,,
2066,"No Accessories available","ไม่มีส่วนเสริมที่ใช้งานได้",,,
2067,"This accessory is not available for your avatar","ส่วนเสริมนี้ยังไม่เปิดใช้งานสำหรับบัญชีของคุณ",,,
2068,"You do not have enough points to buy this accessory","คุณมีคะแนนไม่เพียงพอที่จะซื้อส่วนเสริมนี้",,,
2069,"Invalid graph answer.","แผนภูมิคำตอบมีข้อผิดพลาด",,,
2070,"Module is not available","บทเรียนนี้ยังไม่เปิดให้ใช้งาน",,,
2100,"Reset code is invalid.","การตั้งรหัสใหม่ผิดพลาด",,,
2101,"Password image is invalid.","รหัสภาพไม่ถูกต้อง",,,
2102,"Access token expired.","การเข้าถึงโทเค็นหมดอายุ",,,
2103,"Confirmation code is invalid.","รหัสยืนยันไม่ถูกต้อง",,,
2104,"Username already exists.","มีชื่อผู้ใช้นี้ในระบบอยู่แล้ว",,,
2105,"School does not exist.","ไม่มีโรงเรียนดังกล่าวในระบบ",,,
2106,"Email does not match.","อีเมลล์ไม่ตรงกัน",,,
2107,"Your current email and new email are the same.","อีเมลล์ปัจจุบันและอีเมลล์ปัจจุบันของคุณตรงกัน",,,
2108,"New Email does not exist.","ไม่ปรากฏอีเมลล์ใหม่",,,
2109,"Your account has already been confirmed.","บัญชีของคุณได้รับการยืนยันเป็นที่เรียบร้อยแล้ว",,,
2110,"You have already setup the forgot password steps.","คุณได้ดำเนินการในขั้นตอนการตั้งค่ารหัสผ่านใหม่สมบูรณ์แล้ว",,,
2111,"You have already setup the email confirmation steps.","คุณได้ดำเนินการในขั้นตอนการยืนยันอีเมลล์สมบูรณ์แล้ว",,,
2112,"Password must be at least 8 characters and with at least 1 number.","รหัสผ่านต้องมีอย่างน้อย 8 ตัวอักษรร่วมกับตัวเลข 1 ตัว",,,
2113,"Username and password is invalid.","ชื่อผู้ใช้งานและรหัสผ่านไม่ถูกต้อง",,,
2114,"Your password is incorrect.","รหัสผ่านของคุณไม่ถูกต้อง",,,
2115,"Contact number format is incorrect.","รูปบบของเบอร์โทรติดต่อไม่ถูกต้อง",,,
2116,"School name is not available.","ชื่อโรงเรียนนี้ยังไม่เปิดให้บริการ",,,
2117,"The Student has to be 14 years old or above.","ผู้เรียนจะต้องมีอายุเท่ากับหรือมากกว่า 14 ปีขึ้นไป",,,
2118,"Your account is being reviewed or contact administrator for assistance.","บัญชีของคุณกำลังถูกตรวจสอบ หรือติดต่อผู้ดูแลสำหรับความช่วยเหลือ",,,
2119,"This record is being used.","ขณะมีกำลังมีการใช้บันทึกนี้",,,
2120,"This record is invalid.","การบันทึกนี้ไม่สมบูรณ์",,,
2121,"Unable to Delete. Principal is associated to a school.","ไม่สามารถลบได้ อาจารย์ใหญ่มีความเกี่ยวข้องกับโรงเรียน",,,
2122,"Unable to Delete. Teacher is associate to a class.","ไม่สามารถลบได้ อาจารย์มีความเกี่ยวข้องกับชั้นเรียน",,,
2123,"Unable to Delete. Parent is associated to a student.","ไม่สามารถลบได้ ผู้ปกครองมีความเกี่ยวข้องกับผู้เรียน",,,
2124,"Student does not exist.","ไม่ปรากฏผู้เรียน",,,
2125,"Student is already in a class.","ผู้เรียนได้อยู่ในห้องเรียนเรียบร้อยแล้ว",,,
2126,"Unable to Delete. Student is associated to a Parent.","ไม่สามารถลบได้ ผู้เรียนมีความเกี่ยวข้องกับผู้ปกครอง",,,
2127,"Unable to Delete. Student has Points.","ไม่สามารถลบได้ ผู้เรียนมีคะแนน",,,
2128,"Unable to Delete. Student has Badge.","ไม่สามารถลบได้ ผู้เรียนมีป้ายชื่อ",,,
2129,"Unable to Delete. Student has Class.","ไม่สามารถลบได้ ผู้เรียนมีห้องเรียน",,,
2130,"Parent does not have Student.","ผู้ปกครองไม่มีผู้เรียน",,,
2131,"Student is already added.","เพิ่มผู้เรียนเรียบร้อยแล้ว",,,
2132,"Invitation code is invalid.","รหัสเชิญไม่ถูกต้อง",,,
2133,"Registration token is invalid.","โทเค็นการสมัครสมาชิกไม่ถูกต้อง",,,
2134,"Can't change School: Student has active Subscription.","ไม่สามารถเปลี่ยนโรงเรียน: ผู้เรียนมีคำสั่งซื้อที่ดำเนินการอยู่",,,
2135,"The class is already full.","ห้องเรียนนี้เต็มแล้ว",,,
2136,"Unable to Delete.Tip has rating.","ไม่สามาถลบได้ คำแนะนำนี้ได้รับความนิยม",,,
2137,"Unable to delete. Help request has answers.","ไม่สามารถลบได้ การขอความช่วยเหลือมีคำตอบ",,,
2138,"Password image is required.","ต้องการรหัสภาพ",,,
2139,"Points to unlock must be lesser than Points to finish.","แนนสำหรับปลดล็อคต้องน้อยกว่าคะแนนสำหรับจบหลักสูตร",,,
2140,"Unable to Delete. Module has contents.","ไม่สามารถลบได้ บทเรียนนี้มีเนื้อหา",,,
2141,"Unable to Delete. Module has questions.","ไม่สามารถลบได้ บทเรียนนี้มีคำถาม",,,
2142,"The image must be a file of type: jpeg, jpg, png.","ไฟล์รูปภาพต้องเป็นสกุล: jpeg, jpg, png",,,
2143,"The image size had exceeded 2MB.","ขนาดรูปภาพไม่เกิน 2 MB",,,
2144,"Module does not exist","ไม่ปรากฏบทเรียน",,,
2145,"Student needs to watch the videos again.","ผู้เรียนต้องการรับชมวีดีโอนี้อีกครั้ง",,,
2146,"Prevent having dot for an image file name.","ป้องกันไม่ให้ไฟล์รูปภาพมีจุด",,,
2147,"Unable to Delete. Subscription already expired.","ไม่สามารถลบได้ คำสั่งซื้อหมดอายุ",,,
2148,"Unable to generate report.","ไม่สามารถสร้างรายงานได้",,,
2149,"The file must be a file of type: csv.","ไฟล์ควรเป็นไฟล์ประเภท: csv.",,,
2150,"This tip has an existing rating.","คำแนะนำนี้ได้รับความนิยม",,,
2151,"This help answer has an existing rating.","คำตอบนี้ได้รับความนิยม",,,
2152,"The new email and the current email are the same.","อีเมลล์ปัจจุบันและอีเมลล์ปัจจุบันเหมือนกัน",,,
2153,"Grade","เกรด",,,
2154,"Country","ประเทศ",,,
2155,"Subject","วิชา",,,
2156,"Area","สาขาวิชา",,,
2157,"School","โรงเรียน",,,
2158,"unlock","ปลดล็อก",,,
2159,"finish","สำเร็จ",,,
2160,"module","บทเรียน",,,
2161,"Module","บทเรียน",,,
2162,"Question","คำถาม",,,
2163,"Code","รหัส",,,
2164,"Points Equivalent","จุดเสมอภาค",,,
2165,"answer text","ข้อความคำตอบ",,,
2166,"image","รูปภาพ",,,
2167,"empty","ว่าง",,,
2168,"Difficulty","ระดับความยาก",,,
2169,"Points earned","คะแนนที่ได้รับ",,,
2170,"Sequence number","ลำดับหมายเลข",,,
2171,"Answer","คำตอบ",,,
2172,"Description","คำอธิบาย",,,
2173,"Question order","ลำดับคำถาม",,,
2174,"Student ID","รหัสผู้เรียน",,,
2175,"Teacher","อาจารย์",,,
2176,"Client","ผู้รับบริการ",,,
2177,"Number of seats","จำนวนที่นั่ง",,,
2178,"Seats taken","ที่นั่งเต็ม",,,
2179,"Class name","ชื่อห้องเรียน",,,
2180,"Class name should be a minimum of 2 characters.","ชื่อห้องเรียนควรมีอย่างน้อย 2 ตัวอักษร",,,
2181,"Class name may not be greater than 128 characters.","ชื่อห้องเรียนจำกัดสูงสุดที่ 128 ตัวอักษร",,,
2182,"Class","ห้องเรียน",,,
2183,"Date range should be today or after the student was added.","ช่วงของวันที่อยู่ระหว่างวันนี้หรือวันที่ผู้เรียนถูกเพิ่มเข้าในระบบ",,,
2184,"Client Name","ชื่อผู้รับบริการ",,,
2185,"Name","ชื่อ",,,
2186,"Selected country","เลือกประเทศ",,,
2187,"Postal Code","รหัสไปรษณีย์",,,
2188,"Contact number","เบอร์ที่ติดต่อได้",,,
2189,"Password image","รหัสภาพ",,,
2190,"Grade Code","รหัสเกรด",,,
2191,"Group","กลุ่ม",,,
2192,"Student","ผู้เรียน",,,
2193,"Help request","ต้องการควมช่วยเหลือ",,,
2194,"Rating","ความนิยม",,,
2195,"User","ผู้ใช้งาน",,,
2196,"Subject Area","ภาควิชา",,,
2197,"Link","ลิงค์",,,
2198,"Invoice","ใบแจ้งหนี้",,,
2199,"Subscription","การสั่งซื้อ",,,
2200,"Email already exists.","มีผู้ใช้อีเมลล์นี้ในระบบอยู่แล้ว",,,
2201,"Username already exists.","มีชื่อผู้นี้ในระบบอยู่แล้ว",,,
2202,"School Name already exists.","มีผู้ใช้ชื่อโรงเรียนในระบบอยู่แล้ว",,,
2203,"Discount","ส่วนลด",,,
2204,"Test","ทดสอบ",,,
2205,"Section","หมวด",,,
2206,"Selected Answer","เลือกคำตอบ",,,
2207,"Age","อายุ",,,
2208,"Parent","ผู้ปกครอง",,,
2209,"Order","คำสั่ง",,,
2210,"Badge name","ป้ายชื่อ",,,
2211,"Content","เนื้อหา ",,,
2212,"Event","เหตุการณ์",,,
2213,"Points","คะแนน",,,
2214,"Tip","ข้อแนะนำ",,,
2215,"Area Code","รหัสพื้นที่",,,
2216,"Subject Code","รหัสวิชา",,,
2217,"Learning Style","รูปแบบการเรียน",,,
2218,"Media","สื่อ",,,
2219,"Image","รูปภาพ",,,
2220,"Content URL","เนื้อหา URL",,,
2221,"Teaching Module","หลักสูตรการสอน",,,
2222,"Minimum Seats already exists.","มีที่นั่งขั้นต่ำแล้ว",,,
"//  Parent Client Error Messages",,"//  รายงานความผิดพลาดเกี่ยวกับผู้ปกครองผู้รับบริการ",,,
"Error::BILLING_INFO_MISSING ","You need to update your contact information in order to proceed buy a subscription.","ข้อผิดพลาด::BILLING_INFO_MISSING ","คุณจำเป็นต้องอัพเดทข้อมูลการติดต่อของคุณเพื่อดำเนินการสั่งซื้อ",,
"//account status messages",,"//รายงานสถานะบัญชี",,,
2230,"Account is inactive.","บัญชียังไม่ถูกเปิดใช้งาน",,,
2231,"Account Locked","บัญชีถูกล็อค",,,
2232,"Account Deleted","บัญชีถูกลบแล้ว",,,
"// login error messages",,"// รายงานความผิดพลาดเกี่ยวกับการเข้าระบบ",,,
2233,"Password is invalid.","รหัสไม่ถูกต้อง",,,
2234,"Unauthorized Registration","การลงทะเบียนไม่ได้รับการตรวจสอบ",,,
"//Announcement messages.",,"//ข้อความประกาศ",,,
2500,"Date range should be between today and future dates.","ช่วงของวันที่ควรอยู่ระหว่างวันนี้และวันในอนาคต",,,
2600,"Cannot delete subject. Subject has subject areas.","ไม่สามารถลบกระทู้ได้ เนื่องจากกระทู้นี้มีหัวข้อย่อย",,,
2601,"Cannot delete admin.","ไม่สามารถลบผู้ดูแลได้",,,
2602,"The school is invalid.","โรงเรียนไม่ถูกต้อง",,,
"// Custom country messages.",,"//ข้อความเกี่ยวกับการกำหนดประเทศ",,,
2603,"The country field is required.","ข้อมูลในส่วนของประเทศ",,,
2604,"The country is invalid","ประเทศไม่ถูกต้อง",,,
7000,"Hmm, something went wrong. Please contact the system administrator.","เอ๊ะ,มีบางอย่างผิดพลาด กรุณาติดต่อผู้ดูแลระบบ",,,
"//  For subscription request error messages",,"// รายงานความผิดพลาดสำหรับรายการสั่งซือ",,,
"Error::SUBSCRIPTION_MUST_BE_A_NUMBER ","The :attribute must be a number","ข้อผิดพลาด::SUBSCRIPTION_MUST_BE_A_NUMBER ",": ต้องมีคุณสมบัติเป็นตัวเลข",,
"Error::SUBSCRIPTION_NAME_REQUIRED ","The subscription name field is required","ข้อผิดพลาด::SUBSCRIPTION_NAME_REQUIRED ","ต้องการชื่อขอบข่ายการสั่งซื้อ",,
"Error::SUBSCRIPTION_NAME_INVALID ","The subscription name format is invalid","ข้อผิดพลาด::SUBSCRIPTION_NAME_INVALID ","รูปแบบการสั่งซื้อไม่ถูกต้อง",,
"Error::SUBSCRIPTION_LSP_REQUIRED ","The learning style is required","ข้อผิดพลาด::SUBSCRIPTION_LSP_REQUIRED","ต้องการรูปแบบการเรียน",,
"Error::SUBSCRIPTION_LSP_INVALID ","The learning style format is invalid","ข้อผิดพลาด::SUBSCRIPTION_LSP_INVALID ","รูปแบบการเรียนไม่ถูกต้อง",,
"//  For trial module error messages",,"// รายงานความผิดพลาดสำหรับหลักสูตรทดลอง",,,
"Error::TRIAL_MODULE_MULTIPLE_ANSWERS_REQUIRED ","Answers are required","ข้อผิดพลาด::TRIAL_MODULE_MULTIPLE_ANSWERS_REQUIRED ","ต้องการคำตอบ",,
"Error::TRIAL_MODULE_QUAD_PLOTTING_REQUIRED ","Plot a point to answer","ข้อผิดพลาด::TRIAL_MODULE_QUAD_PLOTTING_REQUIRED ","แต้มจุดเพื่อตอบ",,
"Error::TRIAL_MODULE_DRAG_DROP_REQUIRED ","Drag at least one object to answer","ข้อผิดพลาด::TRIAL_MODULE_DRAG_DROP_REQUIRED ","ลากอย่างน้อยหนึ่งข้อเพื่อตอบ",,
,,,,,
"Module Names",,"ชื่อบทเรียน",,,"** I add ( English ) after Thai translation in some modules because Thai people usually search them in English"
,"Abbreviations","ตัวย่อ(Abbreviations)",,,
,"Action Verbs","คำกริยาแท้(Action Verbs)",,,
,"Add And Subtract Decimals","การบวกและลบเลขทศนิยม",,,
,"Add And Subtract Fractions With Like Denominators","การบวกและลบเศษส่วนที่มีตัวหารเดียวกัน",,,
,"Add And Subtract Integrers","การบวกและลบเลขจำนวนเต็ม",,,
,"Addition","การบวกเลข",,,
,"Addition And Subtraction","การบวกและการลบเลข",,,
,"Addition large numbers","การจำเลขจำนวนมาก",,,
,"Addition- Skill Builders","การบวกเลข-เสริมทักษะ",,,
,"Addition Three Digit","การบวกเลขสามหลัก",,,
,"Addition Two Digit","การบวกเลขสองหลัก",,,
,"Addition, One Digit","การบวกเลขหนึ่งหลัก",,,
,"Adjectives","คำคุณศัพท์(Adjectives)",,,
,"Adjectives And Adverbs","คำคุณศัพท์และคำวิเศษณ์(Adjectives And Adverbs)",,,
,"Adjectives Phrases","คุณศัพท์วลี(Adjectives Phrases)",,,
,"Adjectives That Compare","คำคุณศัพท์เปรียบเทียบ",,,
,"Adverbs","คำกริยาวิเศษณ์(Adverbs)",,,
,"Adverbs That Compare","คำกริยาวิเศษณ์เปรียบเทียบ",,,
,"Adverbs-Phrases","คำกริยาวิเศษณ์-วลี(Adverbs-Phrases)",,,
,"Algebra","พีชคณิต",,,
,"Alphabetical Order","ลำดับตัวอักษร",,,
,"Analogies","การอนุมาน",,,
,"Antonyms","คำที่มีความหมายตรงกันข้าม(Antonyms)",,,
,"Apostrophes","เครื่องหมายวรรคตอน",,,
,"Appositive","คำนามวลี",,,
,"Articles","บทความ",,,
,"Basic Verbs","คำกริยาพื้นฐาน(Basic Verbs)",,,
,"Capitalization","การใช้อักษรตัวนำขึ้นต้นประโยค(Capitalization)",,,
,"Classification","การจัดหมวดหมู่",,,
,"Colons","เครื่องหมายทวิภาค(Colons)",,,
,"Combining Sentences","การเชื่อมประโยค",,,
,"Combining Sentences, Subjects","การเชื่อมประโยค,ประธาน",,,
,"Commas","คอมม่า",,,
,"Common And Proper Nouns","คำนามทั่วไปและคำนามเฉพาะ",,,
,"Comparative And Superlative","การเปรียบเทียบขั้นกว่าและขั้นสุด",,,
,"Comparative And Superlative Adjectives","คำคุณศัพท์ขั้นกว่าและขั้นสุด",,,
,"Comparative And Superlative Adverbs","คำกริยาวิเศษณ์ขั้นกว่าและขั้นสุด",,,
,"Compare Fractions","การเปรียบเทียบเศษส่วน",,,
,"Comparing","การเปรียบเทียบ",,,
,"Comparing And Ordering","การเปรียบเทียบและการจัดลำดับ",,,
,"Compound Words","คำประสม",,,
,"Conjuctions","คำเชื่อม",,,
,"Consumer Math","คณิตศาสตร์ทางการค้าและชีวิตประจำวัน(Consumer Math)",,,
,"Contractions","คำย่อ",,,
,"Coordinate Graphs","พิกัดร่วม",,,
,"Coordinating Conjuctions","สันธานประสาน(Coordinating Conjuctions)",,,
,"Cordinate Graphs","กราฟแกนพิกัดฉาก",,,
,"Correlative Conjunctions","คำเชื่อมคู่(Correlative Conjunctions)",,,
,"Counting","การนับ",,,
,"Counting And Patterns","การนับและรูปแบบการนับ",,,
,"Dashes","ยัติภังค์",,,
,"Data And Graphs","ข้อมูลและแผนภูมิ",,,
,"Decimals","ทศนิยม",,,
,"Describing Words","อธิบายคำศัพท์",,,
,"Dictionary Skills","ทักษะการใช้พจนานุกรม",,,
,"Direct/Indirect Objects","กรรมตรง/กรรมรอง(Direct/Indirect Objects)",,,
,"Divide Fractions","การหารเศษส่วน",,,
,"Division","การหาร ",,,
,"Division With Decimals","การหารทศนิยม",,,
,"Double Negatives","การใช้คำปฏิเสธซ้ำซ้อน(Double Negatives)",,,
,"Equations And Variables","สมการและตัวแปร",,,
,"Equivalent Fractions","การเท่ากันของเศษส่วน",,,
,"Estimation","การประมาณค่า",,,
,"Estimation And Rounding","การประมาณค่าและการปัดเศษ",,,
,"Exclamatory Sentences In Response To Prompts","ประโยคอุทาน",,,
,"Exponents","เลขยกกำลัง",,,
,"Exponents And Square Roots","เลขยกกำลังและการถอดรูท",,,
,"Figures Of Speech","อุปมาโวหาร",,,
,"Formal And Informal Language","ภาษาทางการและภาษาพูด",,,
,"Fraction Equivalence And Ordering","การเทียบและจัดลำดับเศษส่วน",,,
,"Fractions","เศษส่วน",,,
,"Fractions And Mixed Numbers","เศษส่วนและจำนวนคละ",,,
,"Frequently Confused Words","คำที่มักสับสน",,,
,"Functions","ฟังก์ชัน",,,
,"Future Tense","อนาคตกาล(Future Tense)",,,
,"Geometry","เรขาคณิต",,,
,"Greek And Latin Roots","รากศัพท์กรีกและละติน",,,
,"Helping Verbs","คำกริยาช่วย",,,
,"Homophones","คำพ้องเสียง",,,
,"Idioms And Adages","สำนวนและสุภาษิต",,,
,"Inappropriate Pronoun Shifts","การใช้ระดับสรรพนามที่ไม่เหมาะสม",,,
,"Inappropriate Shifts In Verb Tense","การผัน Tense ที่ไม่เหมาะสม",,,
,"Indefinite Pronouns","สรรพนามไม่เจาะจง(Indefinite Pronouns)",,,
,"Integers","จำนวนเต็ม",,,
,"Irregular Past Tense","อดีตกาลอปกติ(Irregular Past Tense)",,,
,"Irregular Plural Nouns","พหหุนามอปกติ(Irregular Plural Nouns)",,,
,"Irregular Verbs","กริยา 3 ช่อง",,,
,"Letters","การเขียนจดหมาย",,,
,"Logical Reasoning","เหตุผลเชิงตรรกะ",,,
,"Measurement","การวัด",,,
,"Methaphors","อุปมาโวหาร",,,
,"Mixed Operations","การบวกลบคูณหาร",,,
,"Modal Auxiliaries","กริยาช่วย",,,
,"Money","เงิน",,,
,"Multiple Meaning Words","คำพ้องรูป",,,
,"Multiplication","การคูณ",,,
,"Multiplication (Intro)","การคูณ(บทแนะนำ)",,,
,"Multiply And Divide Divisions","การคูณ และ การหาร",,,
,"Multiply Decimals","การคูณทศนิยม",,,
,"Multiply Fractions","การคูณเศษส่วน",,,
,"Names Of Numbers","การบอกจำนวน",,,
,"Nouns","คำนาม",,,
,"Number Sense","ความรู้สึกเชิงจำนวน",,,
,"Number Theory","ทฤษฎีจำนวน",,,
,"Numbers And Comparing","ตัวเลขและการเปรียบเทียบ",,,
,"Operations With Fractions","การบวกลบคูณหารเศษส่วน",,,
,"Order Sentences","ประโยคคำสั่ง",,,
,"Patterns","รูปแบบ",,,
,"Patterns And Sequence","รูปแบบและการจัดลำดับ",,,
,"Patterns Sequencing","รูปแบบการจัดลำดับ",,,
,"Perfect Verb Tenses","กาลสมบูรณ์(Perfect Verb Tenses)",,,
