"DO NOT EDIT",,
"VARIABLES","TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)TEXT TO TRANSLATE
(Instructions: DO NOT TRANSLATE :attribute)",
2053,"File Location is invalid.","Lokasi file tidak valid."
2054,"File deleted.","File telah terhapus."
2055,"Practice Exercise has already been Completed.","Soal latihan telah diselesaikan"
2056,"You need to review the teaching content.","Anda perlu meninjau konten pengajaran."
2057,"Unable to Delete record.","Rekaman tidak bisa dihapus"
2058,"Module is incomplete. Please contact administrator.","Modul tidak lengkap, sila hubungi administrator"
2059,"File does not exist.","File tidak ada"
2060,"Student is currently login on another device.","Murid saat ini sedang login dari peranti lain."
2061,"Client is currently login on another device.","Klien saat ini sedang login dari peranti lain."
2062,"Admin is currently login on another device.","Admin saat ini sedang login dari peranti lain."
2063,"User is currently login on another device.","Pengguna saat ini sedang login dari peranti lain."
2063,"Invalid export file format","Format file ekspor tidak valid."
2064,"File does not exist.","File tidak ada"
2065,"You already have this accessory","Anda telah memiliki aksesori ini"
2066,"No Accessories available","Aksesori tidak tersedia."
2067,"This accessory is not available for your avatar","Aksesori ini tidak tersedia untuk avatar anda"
2068,"You do not have enough points to buy this accessory","Anda tidak punya cukup poin untuk membeli aksesori ini"
2069,"Invalid graph answer.","Grafik jawaban tidak valid."
2070,"Module is not available","Modul tidak tersedia."
2100,"Reset code is invalid.","Kode reset tidak valid."
2101,"Password image is invalid.","Gambar sandi tidak valid."
2102,"Access token expired.","Token akses kadaluarsa."
2103,"Confirmation code is invalid.","Kode konfirmasi tidak valid."
2104,"Username already exists.","Nama pengguna telah ada."
2105,"School does not exist.","Sekolah tidak ada."
2106,"Email does not match.","Email tidak cocok."
2107,"Your current email and new email are the same.","Email saat ini dan email baru anda sama."
2108,"New Email does not exist.","Email baru tidak ada."
2109,"Your account has already been confirmed.","Akun anda telah terkonfirmasi."
2110,"You have already setup the forgot password steps.","Anda telah menyelesaikan prosedur lupa kata sandi"
2111,"You have already setup the email confirmation steps.","Anda telah menyelesaikan prosedur email konfirmasi."
2112,"Password must be at least 8 characters and with at least 1 number.","Kata sandi harus terdiri dari 8 karakter dan minimum 1 angka."
2113,"Username and password is invalid.","Nama pengguna dan kata sandi tidak valid."
2114,"Your password is incorrect.","Kata sandi anda tidak benar."
2115,"Contact number format is incorrect.","Format nomor kontak tidak benar."
2116,"School name is not available.","Nama sekolah tidak tersedia."
2117,"The Student has to be 14 years old or above.","Murid harus diatas 14 tahun"
2118,"Your account is being reviewed or contact administrator for assistance.","Akun anda sedang ditinjau atau hubungi administrator untuk bantuan."
2119,"This record is being used.","Rekaman ini sedang digunakan."
2120,"This record is invalid.","Rekaman ini tidak valid"
2121,"Unable to Delete. Principal is associated to a school.","Tidak bisa menghapus. Kepala sekolah berhubungan dengan sekolah"
2122,"Unable to Delete. Teacher is associate to a class.","Tidak bisa menghapus. Guru berhubungan dengan kelas"
2123,"Unable to Delete. Parent is associated to a student.","Tidak bisa menghapus. orang tua berhubungan dengan murid"
2124,"Student does not exist.","Murid tidak ada"
2125,"Student is already in a class.","Murid telah ada dalam kelas"
2126,"Unable to Delete. Student is associated to a Parent.","Tidak bisa menghapus. Murid berhubungan dengan orang tua."
2127,"Unable to Delete. Student has Points.","Tidak bisa menghapus. Murid mempunyai poin."
2128,"Unable to Delete. Student has Badge.","Tidak bisa menghapus. Murid mempunyai lencana."
2129,"Unable to Delete. Student has Class.","Tidak bisa menghapus. Murid mempunyai kelas."
2130,"Parent does not have Student.","orang tua tidak mempunyai murid"
2131,"Student is already added.","Murid telah ditambah"
2132,"Invitation code is invalid.","Kode undangan tidak valid."
2133,"Registration token is invalid.","Token pendaftaran tidak valid."
2134,"Can't change School: Student has active Subscription.","Tidak bisa mengganti sekolah: Murid mempunyai subskripsi aktif."
2135,"The class is already full.","Kelas telah penuh."
2136,"Unable to Delete.Tip has rating.","Tidak bisa menghapus. Petunjuk mempunyai rating."
2137,"Unable to delete. Help request has answers.","Tidak bisa menghapus. Permintaan bantuan mempunyai jawaban."
2138,"Password image is required.","Gambar sandi dibutuhkan"
2139,"Points to unlock must be lesser than Points to finish.","Poin pembuka harus lebih sedikit dari poin penyelesaian."
2140,"Unable to Delete. Module has contents.","Tidak bisa menghapus. Modul mempunyai konten."
2141,"Unable to Delete. Module has questions.","Tidak bisa menghapus. Modul mempunyai pertanyaan."
2142,"The image must be a file of type: jpeg, jpg, png.","Gambar harus dalam bentuk file: jpeg, jpg, png."
2143,"The image size had exceeded 2MB.","Ukuran file gambar melebihi 2MB"
2144,"Module does not exist","Modul tidak ada"
2145,"Student needs to watch the videos again.","Murid perlu melihat video lagi."
2146,"Prevent having dot for an image file name.","Tanda ""titik"" tidak dianjurkan dalam nama file gambar."
2147,"Unable to Delete. Subscription already expired.","Tidak bisa menghapus. Subskripsi telah kadaluarsa."
2148,"Unable to generate report.","Tidak bisa menghasilkan laporan"
2149,"The file must be a file of type: csv.","File harus dalam bentuk: csv."
2150,"This tip has an existing rating.","Petunjuk ini telah mempunyai rating."
2151,"This help answer has an existing rating.","Jawaban bantuan ini telah mempunyai rating."
2152,"The new email and the current email are the same.","Email baru dan email saat ini sama."
2153,"Grade","Tingkatan"
2154,"Country","Negara"
2155,"Subject","Subyek"
2156,"Area","Bidang"
2157,"School","Sekolah"
2158,"unlock","Membuka"
2159,"finish","Selesai"
2160,"module","modul"
2161,"Module","Modul"
2162,"Question","Pertanyaan"
2163,"Code","Kode"
2164,"Points Equivalent","Poin setara dengan"
2165,"answer text","teks jawaban"
2166,"image","gambar"
2167,"empty","kosong"
2168,"Difficulty","Tingkat kesulitan"
2169,"Points earned","Perolehan poin"
2170,"Sequence number","Urutan nomor"
2171,"Answer","Jawaban"
2172,"Description","Deskripsi"
2173,"Question order","Urutan pertanyaan"
2174,"Student ID","ID murid"
2175,"Teacher","Guru"
2176,"Client","Klien"
2177,"Number of seats","Jumlah kursi"
2178,"Seats taken","Kursi terisi"
2179,"Class name","Nama kelas"
2180,"Class name should be a minimum of 2 characters.","Nama kelas harus terdiri dari minimum 2 karakter."
2181,"Class name may not be greater than 128 characters.","Nama kelas tidak boleh lebih dari 128 karakter"
2182,"Class","Kelas"
2183,"Date range should be today or after the student was added.","Rentang tanggal harus hari ini atau sesudah murid ditambahkan"
2184,"Client Name","Nama klien"
2185,"Name","Nama"
2186,"Selected country","Negara terpilih"
2187,"Postal Code","Kode pos"
2188,"Contact number","Nomor kontak"
2189,"Password image","Gambar sandi"
2190,"Grade Code","Kode tingkatan"
2191,"Group","Kelompok"
2192,"Student","Murid"
2193,"Help request","Permintaan bantuan"
2194,"Rating","Rating"
2195,"User","Pengguna"
2196,"Subject Area","Area subyek"
2197,"Link","Tautan"
2198,"Invoice","Faktur"
2199,"Subscription","Subskripsi"
2200,"Email already exists.","Email telah ada"
2201,"Username already exists.","Pengguna telah ada"
2202,"School Name already exists.","Nama sekolah telah ada"
2203,"Discount","Diskon"
2204,"Test","Ujian"
2205,"Section","Bagian"
2206,"Selected Answer","Jawaban terpilih"
2207,"Age","Umur"
2208,"Parent","Orang tua"
2209,"Order","Urutan"
2210,"Badge name","Nama lencana"
2211,"Content","Konten"
2212,"Event","Acara"
2213,"Points","Poin"
2214,"Tip","Petunjuk"
2215,"Area Code","Kode area"
2216,"Subject Code","Kode subyek"
2217,"Learning Style","Gaya belajar"
2218,"Media","Media"
2219,"Image","Gambar"
2220,"Content URL","Konten URL"
2221,"Teaching Module","Modul pengajaran"
2222,"Minimum Seats already exists.","Minimum kursi yang sudah ada"
"//  Parent Client Error Messages",,
"Error::BILLING_INFO_MISSING ","You need to update your contact information in order to proceed buy a subscription.","Anda perlu memperbaharui informasi anda untuk meneruskan pembelian subskripsi "
"//account status messages",,
2230,"Account is inactive.","Akun tidak aktif"
2231,"Account Locked","Akun terkunci."
2232,"Account Deleted","Akun terhapus."
"// login error messages",,
2233,"Password is invalid.","Kata sandi tidak valid"
2234,"Unauthorized Registration","Pendaftaran tak terotorisasi"
"//Announcement messages.",,
2500,"Date range should be between today and future dates.","Rentang tanggal harus antara hari ini dan tanggal kedepan"
2600,"Cannot delete subject. Subject has subject areas.","Tidak bisa menghapus subyek. Subyek mempunyai area subyek"
2601,"Cannot delete admin.","Tidak bisa menghapus admin."
2602,"The school is invalid.","Sekolah tidak valid"
"// Custom country messages.",,
2603,"The country field is required.","Bidang negara dibutuhkan"
2604,"The country is invalid","Negara tidak valid."
7000,"Hmm, something went wrong. Please contact the system administrator.","Hmm, ada yang salah. Silakan hubungi administrator."
"//  For subscription request error messages",,
"Error::SUBSCRIPTION_MUST_BE_A_NUMBER ","The :attribute must be a number",":attribute harus dalam bentuk angka."
"Error::SUBSCRIPTION_NAME_REQUIRED ","The subscription name field is required","Nama subskripsi dibutuhkan"
"Error::SUBSCRIPTION_NAME_INVALID ","The subscription name format is invalid","Format nama subskripsi tidak valid"
"Error::SUBSCRIPTION_LSP_REQUIRED ","The learning style is required","Gaya belajar dibutuhkan"
"Error::SUBSCRIPTION_LSP_INVALID ","The learning style format is invalid","Format gaya belajar tidak valid"
"//  For trial module error messages",,
"Error::TRIAL_MODULE_MULTIPLE_ANSWERS_REQUIRED ","Answers are required","Jawaban dibutuhkan"
"Error::TRIAL_MODULE_QUAD_PLOTTING_REQUIRED ","Plot a point to answer","Gambar satu poin untuk menjawab"
"Error::TRIAL_MODULE_DRAG_DROP_REQUIRED ","Drag at least one object to answer","Tarik minimum satu obyek untuk menjawab"
,,
"Module Names",,
,"Abbreviations","Singkatan"
,"Action Verbs","Kata Kerja"
,"Add And Subtract Decimals","Penjumlahan Dan Pengurangan Desimal"
,"Add And Subtract Fractions With Like Denominators","Penjumlahan Dan Pengurangan Pecahan"
,"Add And Subtract Integrers","Penjumlahan Dan Pengurangan Bilangan Bulat"
,"Addition","Penjumlahan"
,"Addition And Subtraction","Penjumlahan Dan Pengurangan"
,"Addition large numbers","Penjumlahan banyak digit"
,"Addition- Skill Builders","Penjumlahan - Pembangun Ketrampilan"
,"Addition Three Digit","Penjumlahan Tiga Digit"
,"Addition Two Digit","Penjumlahan Dua Digit"
,"Addition, One Digit","Penjumlahan, Satu Digit"
,"Adjectives","Kata Sifat"
,"Adjectives And Adverbs","Kata Sifat Dan Kata Keterangan"
,"Adjectives Phrases","Frase Kata Sifat"
,"Adjectives That Compare","Kata Sifat Yang Membandingkan"
,"Adverbs","Kata Keterangan"
,"Adverbs That Compare","Kata Keterangan Yang Membandingkan"
,"Adverbs-Phrases","Frase Kata Keterangan"
,"Algebra","Aljabar"
,"Alphabetical Order","Sesuai Abjad"
,"Analogies","Analogi / Persamaan"
,"Antonyms","Antonim"
,"Apostrophes","Tanda Kutip"
,"Appositive","Aposisi"
,"Articles","Artikel"
,"Basic Verbs","Kata Kerja Dasar"
,"Capitalization","Huruf Besar"
,"Classification","Klasifikasi"
,"Colons","Titik Dua"
,"Combining Sentences","Menggabungkan Kalimat"
,"Combining Sentences, Subjects","Menggabungkan Kalimat, Subyek"
,"Commas","Tanda Koma"
,"Common And Proper Nouns","Kata Benda Umum dan Spesifik"
,"Comparative And Superlative","Komparatif Dan Superlatif"
,"Comparative And Superlative Adjectives","Kata Benda Komparatif Dan Superlatif"
,"Comparative And Superlative Adverbs","Kata Keterangan Komparatif Dan Superlatif"
,"Compare Fractions","Membandingkan Pecahan"
,"Comparing","Perbandingan"
,"Comparing And Ordering","Perbandingan Dan Urutan"
,"Compound Words","Kata Majemuk"
,"Conjuctions","Kata Sambung / Konjungsi"
,"Consumer Math","Matematika Konsumen"
,"Contractions","Singkatan"
,"Coordinate Graphs","Grafik Koordinat"
,"Coordinating Conjuctions","Konjungsi Setara"
,"Cordinate Graphs","Grafik Koordinat"
,"Correlative Conjunctions","Konjungsi Korelasi"
,"Counting","Perhitungan"
,"Counting And Patterns","Perhitungan Dan Pola"
,"Dashes","Tanda Pisah"
,"Data Ad Graphs","Data Dan Grafik"
,"Data And Graphs","Data Dan Grafik"
,"Decimals","Desimal"
,"Describing Words","Mengutarakan Kata-Kata"
,"Dictionary Skills","Ketrampilan Kamus"
,"Direct/Indirect Objects","Obyek Langsung/Tidak Langsung"
,"Divide Fractions","Pembagian Pecahan"
,"Division","Pembagian"
,"Division With Decimals","Pembagian desimal"
,"Double Negatives","Negatif Ganda"
,"Equations And Variables","Persamaan Dan Variabel"
,"Equivalent Fractions","Persamaan Pecahan"
,"Estimation","Estimasi"
,"Estimation And Rounding","Estimasi Dan Pembulatan"
,"Exclamatory Sentences In Response To Prompts","Kalimat Seru Dalam Menanggapi Anjuran"
,"Exponents","Eksponen"
,"Exponents And Square Roots","Eksponen Dan Kuadrat"
,"Figures Of Speech","Kata Kiasan"
,"Formal And Informal Language","Bahasa Formal Dan Informal"
,"Fraction Equivalence And Ordering","Penguraian Pecahan Parsial"
,"Fractions","Pecahan"
,"Fractions And Mixed Numbers","Pecahan Campuran"
,"Frequently Confused Words","Kata-Kata Yang Sering Membingungkan"
,"Functions","Fungsi"
,"Future Tense","Pola Kalimat Waktu Yang Akan Datang"
,"Geometry","Geometri"
,"Greek And Latin Roots","Bersumber Dari Yunani Dan Latin"
,"Helping Verbs","Kata Kerja Pembantu"
,"Homophones","Persamaan Bunyi"
,"Idioms And Adages","Idiom Dan Pepatah"
,"Inappropriate Pronoun Shifts","Penggunaan Kata Ganti Yang Tidak Tepat"
,"Inappropriate Shifts In Verb Tense","Penggunaan Kata Kerja Yang Tidak Tepat"
,"Indefinite Pronouns","Kata Ganti Tak Tentu"
,"Integers","Bilangan Bulat"
,"Irregular Past Tense","Pola Kalimat Masa Lampau Tak Beraturan"
,"Irregular Plural Nouns","Kata Benda Jamak Tak Beraturan"
,"Irregular Verbs","Kata Kerja Tak Beraturan"
,"Letters","Huruf"
,"Logical Reasoning","Penalaran Logis"
,"Measurement","Pengukuran"
,"Measuremnt","Pengukuran"
,"Methaphors","Metafor"
,"Mixed Operations","Operasi Campuran"
,"Modal Auxiliaries","Modal Tambahan"
,"Money","Uang"
,"Multiple Meaning Words","Kata Dengan Berbagai Arti"
,"Multiplication","Perkalian"
,"Multiplication (Intro)","Perkalian ( Pengenalan )"
,"Multiply And Divide Divisions","Perkalian Dan Pembagian"
,"Multiply Decimals","Perkalian Desimal"
,"Multiply Fractions","Perkalian Pecahan"
,"Names Of Numbers","Nama Dari Angka"
,"Nouns","Kata Benda"
,"Number Sense","Pemahaman Bilangan"
,"Number Theory","Teori Angka"
,"Numbers And Comparing","Angka Dan Perbandingan"
,"Operations With Fractions","Operasi Pecahan"
,"Order Sentences","Urutan Kalimat"
,"Patterns","Pola"
,"Patterns And Sequence","Pola Dan Urutan"
,"Patterns Sequencing","Pengurutan Pola"
,"Perfect Verb Tenses","Pola Kalimat Waktu Sempurna"
,"Personal Pronouns","Kata Ganti Orang"
,"Personifications","Personifikasi"
,"Place Values","Nilai Dalam Digit"
,"Place Values And Number Sense","Nilai Dalam Digit Dan Pemahaman Bilangan"
,"Plural Nouns","Kata Benda Jamak"
,"Possessive Nouns","Kata Benda Kepunyaan"
,"Possessive Pronouns","Kata Ganti Kepunyaan"
,"Prefixes","Awalan"
,"Prefixes And Suffixes","Awalan Dan Akhiran"
,"Prepositions","Kata Depan"
,"Probability","Probabilitas"
,"Probability And Statistics","Probabilitas Dan Statistik"
,"Problem Solving","Pemecahan Masalah"
,"Problem Solving And Estimation","Pemecahan Masalah Dan Estimasi"
,"Progressive Verb Tenses","Pola Kalimat Waktu Berlangsung"
,"Pronouns","Kata Ganti"
,"Pronouns And Antecedents","Kata Ganti Dan Kata Yang Diacu"
,"Properties","Kepemilikan"
,"Punctuation","Tanda Baca"
,"Quotations And Dialogue","Kutipan Dan Dialog"
,"Rational Numbers","Bilangan Rasional"
,"Ratios , Portions And Percents","Rasio, Porsi Dan Persen"
,"Reflexive And Intensive Pronouns","Kata Ganti Perujuk Dan Penekanan"
,"Reflexive Pronouns","Kata Ganti Perujuk"
,"Regular Past Tense","Pola Kalimat Masa Lampau Beraturan"
,"Regular Plural Nouns","Kata Benda Jamak Beraturan"
,"Relative Pronouns","Kata Ganti Penghubung"
,"Relative Pronouns And Relative Adverbs","Kata Ganti Dan Kata Keterangan Penghubung"
,"Restrictive And Nonrestrictive Elements","Elemen Restriktif Dan Nonrestriktif"
,"Rounding","Pembulatan"
,"Sentence Types","Jenis Kalimat"
,"Sentences, Fragments, And Run-Ons","Kalimat, Fragmen Dan Kalimat Panjang"
,"Shading Of Meaning","Makna Terselubung"
,"Similes","Kiasan"
,"Similes And Metaphors","Kiasan Dan Metafora"
,"Simple Complete Sentences","Kalimat Lengkap Sederhana"
,"Simple Predicates","Predikat Sederhana"
,"Simple Verb Tense Review","Tinjauan Kata Kerja Dalam Pola Kalimat"
,"Simple, Compound, And Complex Sentences","Kalimat Sederhana, Bertingkat dan Kompleks"
,"Single Nouns","Kata Benda Tunggal"
,"Spatial Sense","Pemahaman Ruang"
,"Statistics","Statistik"
,"Subject And Object Pronouns","Kata Ganti Subyek Dan Obyek"
,"Subject And Predicate","Subyek Dan Predikat"
,"Subject Pronouns","Kata Ganti Subyek"
,"Subject-Verb Agreement","Persesuaian Kata Kerja Dengan Subyek"
,"Subordinating Conjunctions","Konjungsi Bertingkat"
,"Subtraction","Pengurangan"
,"Subtraction One Digit","Pengurangan satu digit"
,"Subtraction Three Digit","Pengurangan Tiga Digit"
,"Subtraction Two Digit","Pengurangan Dua Digit"
,"Suffixes","Akhiran"
,"Synonyms","Sinonim"
,"Thesarus Skills","Ketrampilan Tesaurus"
,"Time","Waktu"
,"Titles","Titel"
,"To Be And To Have","To Be dan To Have"
,"Use of commas","Penggunaan Tanda Koma"
,"Vague Pronoun References","Kekeliruan Penggunaan Kata Ganti"
,"Verb Phrases","Frase Kata Kerja"
,"Verb-Actions Or To Be","Kata Kerja Aktif Atau To Be"
,"Verbs","Kata Kerja"
,"Verbs Infinitive","Kata Kerja Infinitif"
,"Vocab Grade 1 A-C","Kosa Kata Tingkat 1 A-C"
,"Vocab Grade 1 D-H","Kosa Kata Tingkat 1 D-H"
,"Vocab Grade 1 I-L","Kosa Kata Tingkat 1 I-L"
,"Vocab Grade 1 M-P","Kosa Kata Tingkat 1 M-P"
,"Vocab Grade 1 Q-T","Kosa Kata Tingkat 1 Q-T"
,"Vocab Grade 1 U-Z","Kosa Kata Tingkat 1 U-Z"
,"Vocab Grade 2 A-C","Kosa Kata Tingkat 2 A-C"
,"Vocab Grade 2 D-H","Kosa Kata Tingkat 2 D-H"
,"Vocab Grade 2 I-L","Kosa Kata Tingkat 2 I-L"
,"Vocab Grade 2 M-P","Kosa Kata Tingkat 2 M-P"
,"Vocab Grade 2 Q-T","Kosa Kata Tingkat 2 Q-T"
,"Vocab Grade 2 U-Z","Kosa Kata Tingkat 2 U-Z"
,"Vocab Grade 3 A-C","Kosa Kata Tingkat 3 A-C"
,"Vocab Grade 3 D-H","Kosa Kata Tingkat 3 D-H"
,"Vocab Grade 3 I-L","Kosa Kata Tingkat 3 I-L"
,"Vocab Grade 3 M-P","Kosa Kata Tingkat 3 M-P"
,"Vocab Grade 3 Q-T","Kosa Kata Tingkat 3 Q-T"
,"Vocab Grade 3 U-Z","Kosa Kata Tingkat 3 U-Z"
,"Vocab Grade 4 A-C","Kosa Kata Tingkat 4 A-C"
,"Vocab Grade 4 D-H","Kosa Kata Tingkat 4 D-H"
,"Vocab Grade 4 I-L","Kosa Kata Tingkat 4 I-L"
,"Vocab Grade 4 M-P","Kosa Kata Tingkat 4 M-P"
,"Vocab Grade 4 Q-T","Kosa Kata Tingkat 4 Q-T"
,"Vocab Grade 4 U-Z","Kosa Kata Tingkat 4 U-Z"
,"Vocab Grade 5 A-C","Kosa Kata Tingkat 5 A-C"
,"Vocab Grade 5 D-H","Kosa Kata Tingkat 5 D-H"
,"Vocab Grade 5 I-L","Kosa Kata Tingkat 5 I-L"
,"Vocab Grade 5 M-P","Kosa Kata Tingkat 5 M-P"
,"Vocab Grade 5 Q-T","Kosa Kata Tingkat 5 Q-T"
,"Vocab Grade 5 U-Z","Kosa Kata Tingkat 5 U-Z"
,"Vocab Grade 6 A-C","Kosa Kata Tingkat 6 A-C"
,"Vocab Grade 6 D-H","Kosa Kata Tingkat 6 D-H"
,"Vocab Grade 6 I-L","Kosa Kata Tingkat 6 I-L"
,"Vocab Grade 6 M-P","Kosa Kata Tingkat 6 M-P"
,"Vocab Grade 6 Q-T","Kosa Kata Tingkat 6 Q-T"
,"Vocab Grade 6 U-Z","Kosa Kata Tingkat 6 U-Z"
,"Which, That ,Who Clause","Klausa Which, That, Who"
,"Whole Numbers","Bilangan Cacah"
,"Word Order","Urutan Kata"
