"DO NOT EDIT",,"Arabic"
2008,"The Username or Email you entered is invalid. Please try inputting again. If the account you are attempting to login is for a student less than 14 yrs old, please login via the parent site.","اسم المستخدم أو البريد الإلكتروني الذي أدخلته غير صالح. يرجى محاولة إدخالها مرة أخرى. إذا كان الحساب الذي تحاول الدخول إليه هو للطالب أقل من 14 سنة، يرجى تسجيل الدخول عبر حساب ولي الأمر. "
2009,"Avatar does not exist.","الصورة الرمزية غير موجودة. "
2010,"Parent does not exist.","ولي الامر غير موجود. "
2011,"Username and password is incorrect.","اسم المستخدم وكلمة المرور غير صحيحة."
2012,"Picture password is incorrect.","كلمة مرور الصورة غير صحيحة. "
2013,"Username or Email is invalid.","اسم المستخدم أو البريد الإلكتروني غير صالح."
2014,"Your Account has been locked. Please go to the forgot password screen to reset your password.","تم تأمين حسابك. يرجى الدخول إلى شاشة نسيت كلمة المرور لإعادة تعيين كلمة المرور الخاصة بك."
2015,"Confirmation code is required.","رمز التأكيد مطلوب. "
2016,"Confirmation code should be number only.","رمز التاكيد يجب أن يكون رقم فقط. "
2017,"Picture Password is required.","كلمو مرور الصورة مطلوبة. "
2018,"Username does not exist.","اسم المستخدم غير موجود."
2019,"Username or Email is invalid or your account has been locked. Please click forgot password to reset your password.","اسم المستخدم أو البريد الإلكتروني غير صالح أو قد تم إغلاق حسابك. الرجاء الضغط على نسيت كلمة المرور لإعادة تعيين كلمة المرور الخاصة بك."
2020,"Account is deleted.","تم حذف الحساب."
2021,"Username is invalid.","إسم المستخدم غير صحيح."
2022,"The school level field is required.","حقل مستوى المدرسة مطلوب. "
2023,"The school level field should be number only.","يجب أن يكون حقل مستوى المدرسة رقم فقط."
2024,"Confirmation code is invalid.","رمز التأكيد غير صالح."
2025,"Reset code is required.","رمز إعادة التعيين مطلوب."
2026,"Reset code should be number only.","ينبغي أن يكون رمز إعادة التعيين رقم فقط."
2027,"Reset code is invalid.","رمز إعادة التعيين غير صالح."
2028,"The Student has to be 14 years old or above to be able to register."," يجب الطالبأن يكون 14 سنة فما فوق للتسجيل."
2029,"Access authentication failure.","فشل اذن الوصول."
2030,"Access authorization is required.","اذن الوصول مطلوب. "
2031,"Access authorization is invalid.","اذن الوصول غير صالح."
2032,"Unauthorized access.","وصول غير مرخص."
2033,"Username/Email or password is invalid","اسم المستخدم / البريد الإلكتروني أو كلمة المرور غير صالحة"
2034,"Username/Email or password is invalid. Have you verified your email? Please check your inbox. Your account may have been locked, please click on forgot password to reset your password.","اسم المستخدم / البريد الإلكتروني أو كلمة المرور غير صالحة. هل تحققت من البريد الإلكتروني الخاص بك؟ يرجى التحقق من البريد الوارد الخاص بك. قد يكون حسابك مغلق، الرجاء الضغط على نسيت كلمة المرور لإعادة تعيين كلمة المرور الخاصة بك."
2035,"Account has been locked. Please click on forgot password to reset your password.","قد تم إغلاق الحساب. الرجاء الضغط على نسيت كلمة المرور لإعادة تعيين كلمة المرور الخاصة بك."
2036,"Client has active transaction.","العميل لديه معاملات نشطة."
2037,"Student has an existing subscription.","الطلب لديه اشتراك حالي. "
2038,"No student added.","لم يتم إضافة أي طالب. "
2039,"Student is not associated to the parent.","الطالب غير مرتبط بولي الامر. "
2040,"Student already exist.","الطالب موجود من قبل. "
2042,"Student has already rated this help request answer.","قيم الطالب من قبل إجابة طلب المساعدة. "
2043,"Student cannot rate his/her own help request answer.","لت يمكن للطالب تقييم إجابة طلب المساعدة الخاص به/ها. "
2044,"The Postal Code format is invalid.","صيغة الرمز البريدي غير صالحة."
2045,"The Postal Code may not be greater than 10 characters.","لا يجب أن يكون الرمز البريدي أكثر من 10 حروف. "
2046,"The contact number should not exceed 20 digits.","يجب أن لا يتجاوز رقم الاتصال 20 رقم. "
2049,"Account has already been registered.","تم تسجيل الحساب من قبل. "
2050,"Student has an active subscription.","الطلب لديه اشتراك نشط. "
2051,"Class has already ended.","انتهت الحصة من قبل. "
2052,"No Image","لا توجد صورة"
2053,"File Location is invalid.","موقع الملف غير صالح."
2054,"File deleted.","تم حذف الملف. "
2055,"Practice Exercise has already been Completed.","تم إكمال التدريب من قبل. "
2056,"You need to review the teaching content.","تحتاج إلى مراجعة محتوى التدريس."
2057,"Unable to Delete record.","غير قادر على حذف السجل."
2058,"Module is incomplete. Please contact administrator.","الوحدة غير مكتملة. الرجاء الاتصال بالمشرف. "
2059,"File does not exist.","الملف غير موجود."
2060,"Student is currently login on another device.","الطالب مسجل دخوله حاليا من جهاز آخر. "
2061,"Client is currently login on another device.","العميل مسجل دخوله حاليا من جهاز آخر. "
2062,"Admin is currently login on another device.","المشرف مسجل دخوله حاليا من جهاز آخر. "
2063,"User is currently login on another device.","المستخدم مسجل دخوله حاليا من جهاز آخر. "
2063,"Invalid export file format","صيغة ملف التصدير غير صالح"
2064,"File does not exist.","الملف غير موجود."
2065,"You already have this accessory","لديك بالفعل هذا الملحق"
2066,"No Accessories available","لا توجد ملحقات. "
2067,"This accessory is not available for your avatar","هذا الملحق غير متاح للصورة الرمزية. "
2068,"You do not have enough points to buy this accessory","ليس لديك نقاط كافية لشراء هذا الملحق"
2069,"Invalid graph answer.","إجابة بيانية غير صحيحة. "
2070,"Module is not available","الوحدة ليست متاحة"
2100,"Reset code is invalid.","رمز إعادة التعيين غير صالح."
2101,"Password image is invalid.","صورة كلمة المرور غير صالحة."
2102,"Access token expired.","انتهى رمز وصول."
2103,"Confirmation code is invalid.","رمز التأكيد غير صالح."
2104,"Username already exists.","اسم المستخدم موجود بالفعل."
2105,"School does not exist.","المدرسة غير موجودة. "
2106,"Email does not match.","البريد الإلكتروني لا يتطابق."
2107,"Your current email and new email are the same.","البريد الإلكتروني الحالي والبريد الإلكتروني الجديد متشابهان. "
2108,"New Email does not exist.","البريد الإلكتروني الجديد غير موجود. "
2109,"Your account has already been confirmed.","تم تأكيد بريدك الالكتروني من قبل. "
2110,"You have already setup the forgot password steps.","لقد قمت من قبل بخطوات نسيت كلمة المرور. "
2111,"You have already setup the email confirmation steps.","لقد قمت من قبل بخطوات تاكيد البريد الالكتروني. "
2112,"Password must be at least 8 characters and with at least 1 number.","يجب أن تكون كلمة المرور مكونة من 8 حروف على الأقل ورقم واحد على الأقل. "
2113,"Username and password is invalid.","اسم المستخدم وكلمة المرور غير صالحة."
2114,"Your password is incorrect.","كلمة المرور غير صحيحة."
2115,"Contact number format is incorrect.","صيغة رقم الاتصال غير صحيح."
2116,"School name is not available.","اسم المدرسة غير متوفر."
2117,"The Student has to be 14 years old or above.","الطالب يجب أن يكون 14 سنة فما فوق."
2118,"Your account is being reviewed or contact administrator for assistance.","يتم مراجعة حسابك أو تواصل مع المشرف للحصول على المساعدة."
2119,"This record is being used.","جاري استخدام هذا السجل. "
2120,"This record is invalid.","هذا السجل غير صالح."
2121,"Unable to Delete. Principal is associated to a school.","غير قادر على الحذف. مدير المدرسة مرتبط بالمدرسة."
2122,"Unable to Delete. Teacher is associate to a class.","غير قادر على الحذف. المدرس مرتبط بالصف."
2123,"Unable to Delete. Parent is associated to a student.","غير قادر على الحذف. ولي الأمر مرتبط بطالب. "
2124,"Student does not exist.","الطالب غير موجود. "
2125,"Student is already in a class.","الطالب موجود في الصف."
2126,"Unable to Delete. Student is associated to a Parent.","غير قادر على الحذف. الطالب مرتبط بولي الأمر. "
2127,"Unable to Delete. Student has Points.","غير قادر على الحذف. الطلب لديه نقاط. "
2128,"Unable to Delete. Student has Badge.","غير قادر على الحذف. الطلب لديه شارة. "
2129,"Unable to Delete. Student has Class.","غير قادر على الحذف. طالب لديه حصة."
2130,"Parent does not have Student.","ولي الأمر ليس لديه طالب. "
2131,"Student is already added.","الطلب مضاف من قبل. "
2132,"Invitation code is invalid.","رمز الدعوة غير صالح."
2133,"Registration token is invalid.","رمز التسجيل غير صالح."
2134,"Can't change School: Student has active Subscription.","لا يمكن تغيير مدرسة: الطالب لديه اشتراك نشط. "
2135,"The class is already full.","الصف ممتلئ. "
2136,"Unable to Delete.Tip has rating.","غير قادر على الحذف. النصيحة لديها تقييم. "
2137,"Unable to delete. Help request has answers.","غير قادر على الحذف. طلب المساعدة لديه إجابات. "
2138,"Password image is required.","صورة كلمة المرور مطلوبة."
2139,"Points to unlock must be lesser than Points to finish.","يجب أن تكون نقاط الفتح أقل من نقاط الإنهاء. "
2140,"Unable to Delete. Module has contents.","غير قادر على الحذف. الوحدة لديها محتويات. "
2141,"Unable to Delete. Module has questions.","غير قادر على الحذف. الوحدة لديها أسئلة. "
2142,"The image must be a file of type: jpeg, jpg, png.","يجب أن يكون نوع الصورة: jpeg, jpg, png. "
2143,"The image size had exceeded 2MB.","تعدى حجم الصورة 2 ميجا بايت. "
2144,"Module does not exist","الوحدة غير موجودة. "
2145,"Student needs to watch the videos again.","يحتاج الطالب لمشاهدة الفيديو مرة أخرى."
2146,"Prevent having dot for an image file name.","لا يمكن استخدام النقطة في اسم ملف الصورة."
2147,"Unable to Delete. Subscription already expired.","غير قادر على الحذف. صلاحية الاشتراك منتهية من قبل."
2148,"Unable to generate report.","غير قادر على إنشاء التقرير."
2149,"The file must be a file of type: csv.","يجب أن يكون الملف من نوع: CSV."
2150,"This tip has an existing rating.","تحتوي هذه النصيحة على تقييم حالي. "
2151,"This help answer has an existing rating.","تحتوي هذه الإجابة على تقييم حالي. "
2152,"The new email and the current email are the same.","البريد الإلكتروني الجديد والبريد الإلكتروني الحالي متشابهان. "
2153,"Grade","الدرجة"
2154,"Country","الدولة"
2155,"Subject","المادة"
2156,"Area","المنطقة "
2157,"School","المدرسة"
2158,"unlock","فتح"
2159,"finish","إنهاء"
2160,"module","الوحدة"
2161,"Module","الوحدة"
2162,"Question","سؤال"
2163,"Code","رمز"
2164,"Points Equivalent","نقاط متكافئة "
2165,"answer text","نص الجواب"
2166,"image","الصورة"
2167,"empty","فارغ"
2168,"Difficulty","الصعوبة"
2169,"Points earned","النقاط التي أحرزتها"
2170,"Sequence number","رقم التسلسل"
2171,"Answer","إجابة"
2172,"Description","الوصف"
2173,"Question order","ترتيب السؤال"
2174,"Student ID","هوية الطالب"
2175,"Teacher","المدرس"
2176,"Client","العميل"
2177,"Number of seats","عدد المقاعد"
2178,"Seats taken","الاماكن المحجوزه"
2179,"Class name","اسم الصف "
2180,"Class name should be a minimum of 2 characters.","ينبغي أن يكون اسم الصف ما لا يقل عن حرفين. "
2181,"Class name may not be greater than 128 characters.","لا يجب أن يكون اسم الصف أكبر من 128 حرف. "
2182,"Class","الصف"
2183,"Date range should be today or after the student was added.","يجب أن يكون مدى التاريخ اليوم أو بعدما تمت إضافة الطالب."
2184,"Client Name","اسم العميل"
2185,"Name","الاسم"
2186,"Selected country","الدولة "
2187,"Postal Code","الرمز البريدي"
2188,"Contact number","رقم الاتصال"
2189,"Password image","صورة كلمة المرور"
2190,"Grade Code","رمز الدرجة "
2191,"Group","المجموعة "
2192,"Student","طالب"
2193,"Help request","طلب مساعدة"
2194,"Rating","تقييم "
2195,"User","مستخدم"
2196,"Subject Area","مساحة المادة "
2197,"Link","الرابط "
2198,"Invoice","فاتورة"
2199,"Subscription","اشتراك"
2200,"Email already exists.","البريد الالكتروني موجود بالفعل."
2201,"Username already exists.","اسم المستخدم موجود بالفعل."
2202,"School Name already exists.","اسم المدرسة موجود بالفعل."
2203,"Discount","خصم"
2204,"Test","اختبار"
2205,"Section","القسم "
2206,"Selected Answer","الإجابة المختارة"
2207,"Age","العمر"
2208,"Parent","ولي الأمر "
2209,"Order","الطلب "
2210,"Badge name","اسم الشارة "
2211,"Content","المحتوى "
2212,"Event","الحدث "
2213,"Points","النقاط "
2214,"Tip","نصيحة "
2215,"Area Code","رمز المنطقة "
2216,"Subject Code","رمز المادة "
2217,"Learning Style","أسلوب التعلم"
2218,"Media","الوسائط "
2219,"Image","صورة"
2220,"Content URL","رابط المحتوى "
2221,"Teaching Module","وحدة التدريس"
2222,"Minimum Seats already exists.","الحد الأدنى للمقاعد الموجودة من قبل. "
"//  Parent Client Error Messages",,
"Error::BILLING_INFO_MISSING ","You need to update your contact information in order to proceed buy a subscription.","تحتاج إلى تحديث معلومات الاتصال الخاصة بك من أجل شراء اشتراك."
"//account status messages",,
2230,"Account is inactive.","حساب غير نشط."
2231,"Account Locked","تم غلق الحساب."
2232,"Account Deleted","تم حذف الحساب"
"// login error messages",,
2233,"Password is invalid.","كلمة المرور غير صالحة."
2234,"Unauthorized Registration","تسجيل غير مصرح به "
"//Announcement messages.",,
2500,"Date range should be between today and future dates.","يجب أن يكون مدى التاريخ ما بين اليوم وتواريخ مستقبلية."
2600,"Cannot delete subject. Subject has subject areas.","لا يمكن حذف المادة. المادة لديها مواد أخرى. "
2601,"Cannot delete admin.","لا يمكن حذف المشرف."
2602,"The school is invalid.","المدرسة غير صحيحة. "
"// Custom country messages.",,
2603,"The country field is required.","حقل الدولة مطلوب. "
2604,"The country is invalid","الدولة غير صحيحة. "
7000,"Hmm, something went wrong. Please contact the system administrator.","هم، حدث خطأ. الرجاء الاتصال بمسؤول النظام."
"//  For subscription request error messages",,
"Error::SUBSCRIPTION_MUST_BE_A_NUMBER ","The :attribute must be a number","الـ :attribute يجب ان تكون رقم. "
"Error::SUBSCRIPTION_NAME_REQUIRED ","The subscription name field is required","حقل اسم الاشتراك مطلوب"
"Error::SUBSCRIPTION_NAME_INVALID ","The subscription name format is invalid","صيغة اسم الاشتراك غير صالحة"
"Error::SUBSCRIPTION_LSP_REQUIRED ","The learning style is required","أسلوب التعلم مطلوب"
"Error::SUBSCRIPTION_LSP_INVALID ","The learning style format is invalid","صيغة أسلوب التعلم غير صالح"
"//  For trial module error messages",,
"Error::TRIAL_MODULE_MULTIPLE_ANSWERS_REQUIRED ","Answers are required","الإجابات مطلوبة. "
"Error::TRIAL_MODULE_QUAD_PLOTTING_REQUIRED ","Plot a point to answer","حدد نقطة للإجابة"
"Error::TRIAL_MODULE_DRAG_DROP_REQUIRED ","Drag at least one object to answer","اسحب عنصر واحد على الأقل للإجابة"
,,
"Module Names",,
,"Abbreviations","الاختصارات"
,"Action Verbs","أفعال الحركة"
,"Add And Subtract Decimals","جمع وطرح الكسور العشرية"
,"Add And Subtract Fractions With Like Denominators","جمع وطرح الكسور مع المقامات"
,"Add And Subtract Integrers","جمع وطرح الأعداد الصحيحة"
,"Addition","الجمع"
,"Addition And Subtraction","الجمع والطرح "
,"Addition large numbers","جمع الأرقام الكببيرة "
,"Addition- Skill Builders","الجمع - بناء المهارات "
,"Addition Three Digit","جمع الأرقام الثلاثية "
,"Addition Two Digit","جمع الأرقام الثنائية "
,"Addition, One Digit","جمع الأرقام الفردية. "
,"Adjectives","الصفات"
,"Adjectives And Adverbs","الصفات والظروف"
,"Adjectives Phrases","شبه الجملة الوصفية "
,"Adjectives That Compare","صفات المقارنة "
,"Adverbs","الاحوال"
,"Adverbs That Compare","أحوال المقارنة "
,"Adverbs-Phrases","شبه الجملة الظرفية "
,"Algebra","الجبر "
,"Alphabetical Order","الترتيب الأبجدي "
,"Analogies","القياس"
,"Antonyms","المتضادات"
,"Apostrophes","الفواصل العليا"
,"Appositive","البدل"
,"Articles","الأدوات "
,"Basic Verbs","الأفعال الأساسية"
,"Capitalization","تكبير الحروف "
,"Classification","التصنيف "
,"Colons","النقطتين"
,"Combining Sentences","جمع الجمل "
,"Combining Sentences, Subjects","جمع الجمل، الفاعل "
,"Commas","الفواصل"
,"Common And Proper Nouns","الأسماء الشائعة وأسماء العلم "
,"Comparative And Superlative","المقارنة والتفضيل "
,"Comparative And Superlative Adjectives","صفات المقارنة "
,"Comparative And Superlative Adverbs","أحوال المقارنة "
,"Compare Fractions","مقارنة الكسور"
,"Comparing","المقارنة "
,"Comparing And Ordering","المقارنة والترتيب "
,"Compound Words","الكلمات المركبة "
,"Conjuctions","الروابط "
,"Consumer Math","رياضيات المستهلك "
,"Contractions","التقليص"
,"Coordinate Graphs","تنسيق الرسوم البيانية"
,"Coordinating Conjuctions","روابط الجمل "
,"Cordinate Graphs","تنسيق الرسوم البيانية"
,"Correlative Conjunctions","الروابط المترابطة"
,"Counting","العد"
,"Counting And Patterns","العد والأشكال "
,"Dashes","الشرطات "
,"Data Ad Graphs","الرسوم البيانية والبيانات "
,"Data And Graphs","الرسوم البيانية والبيانات "
,"Decimals","الكسور العشرية"
,"Describing Words","الكلمات الوصفية "
,"Dictionary Skills","مهارات القاموس"
,"Direct/Indirect Objects","المباشر والغير مباشر "
,"Divide Fractions","تقسيم الكسور "
,"Division","التقسيم"
,"Division With Decimals","التقسيم مع الكسور العشرية"
,"Double Negatives","السلبيات مزدوجة"
,"Equations And Variables","المعادلات والمتغيرات"
,"Equivalent Fractions","الكسور المتكافئة"
,"Estimation","التقدير "
,"Estimation And Rounding","التقدير والتقريب "
,"Exclamatory Sentences In Response To Prompts","الجمل التعجبية للرد على المحفزات "
,"Exponents","الأسس"
,"Exponents And Square Roots","الأسس والجذور التربيعية"
,"Figures Of Speech","اللغة المجازية"
,"Formal And Informal Language","اللغة الرسمية وغير الرسمية"
,"Fraction Equivalence And Ordering","التكافؤ الجزئي والترتيب "
,"Fractions","الكسور"
,"Fractions And Mixed Numbers","الكسور والأرقام المختلطة "
,"Frequently Confused Words","الكلمات المحيرة "
,"Functions","الوظائف "
,"Future Tense","زمن المستقبل"
,"Geometry","الهندسة "
,"Greek And Latin Roots","الجذور اليونانية واللاتينية"
,"Helping Verbs","الأفعال المساعدة"
,"Homophones","الكلمات المتجانسة"
,"Idioms And Adages","التعابير والأمثال"
,"Inappropriate Pronoun Shifts","تحويل الضمائر الخاطئ "
,"Inappropriate Shifts In Verb Tense","التحويل الخاطئ في زمن الفعل "
,"Indefinite Pronouns","الضمائر الغير محددة "
,"Integers","الأعداد الصحيحة"
,"Irregular Past Tense","زمن الماضي الشائذ "
,"Irregular Plural Nouns","الأسماء الجمع الشاذة "
,"Irregular Verbs","الأفعال الشاذة"
,"Letters","الحروف"
,"Logical Reasoning","التفكير المنطقي"
,"Measurement","القياس"
,"Measuremnt","القياس "
,"Methaphors","الكلمات المجازية "
,"Mixed Operations","العمليات المختلطة "
,"Modal Auxiliaries","الأفعال المساعدة "
,"Money","المال "
,"Multiple Meaning Words","الكلمات المتعددة المعاني "
,"Multiplication","الضرب"
,"Multiplication (Intro)","الضرب (مقدمة)"
,"Multiply And Divide Divisions","الضرب والقسمة "
,"Multiply Decimals","ضرب الكسور العشرية"
,"Multiply Fractions","ضرب الكسور"
,"Names Of Numbers","أسماء الأرقام "
,"Nouns","الأسماء"
,"Number Sense","الحس العددي "
,"Number Theory","نظرية الأعداد "
,"Numbers And Comparing","أرقام ومقارنة"
,"Operations With Fractions","عمليات مع الكسور"
,"Order Sentences","ترتيب الجمل "
,"Patterns","أنماط"
,"Patterns And Sequence","أنماط وتسلسل"
,"Patterns Sequencing","تسلسل الأنماط "
,"Perfect Verb Tenses","الزمن التام "
,"Personal Pronouns","الضمائر الشخصية"
,"Personifications","التجسيد"
,"Place Values","قيم المكان "
,"Place Values And Number Sense","قيم المكان والحس العددي "
,"Plural Nouns","الأسماء الجمع "
,"Possessive Nouns","الأسماء الملكية "
,"Possessive Pronouns","ضمائر الملكية"
,"Prefixes","البادئات"
,"Prefixes And Suffixes","البادئات واللواحق"
,"Prepositions","حروف الجر"
,"Probability","الاحتمالات "
,"Probability And Statistics","الاحتمالات والإحصاء"
,"Problem Solving","حل المشاكل"
,"Problem Solving And Estimation","حل المشكلات والتقدير"
,"Progressive Verb Tenses","الزمن المستمر "
,"Pronouns","الضمائر"
,"Pronouns And Antecedents","الضمائر والسوابق"
,"Properties","الخصائص"
,"Punctuation","الترقيم "
,"Quotations And Dialogue","الاقتباسات والحوار"
,"Rational Numbers","الاعداد المنطقية "
,"Ratios , Portions And Percents","النسب، والأجزاء والنسب المئوية "
,"Reflexive And Intensive Pronouns","الضمائر المنعكسة والمكثفة "
,"Reflexive Pronouns","الضمائر المنعكسة "
,"Regular Past Tense","الأفعال المنتظمة "
,"Regular Plural Nouns","أسماء الجمع المنتظمة "
,"Relative Pronouns","الضمائر النسبية"
,"Relative Pronouns And Relative Adverbs","الضمائر النسبية والظروف النسبية"
,"Restrictive And Nonrestrictive Elements","العناصر المقيدة وغير المقيدة"
,"Rounding","التقريب"
,"Sentence Types","أنواع الجملة"
,"Sentences, Fragments, And Run-Ons","الجمل، الأجزاء، والجمل الطويلة "
,"Shading Of Meaning","تظليل المعنى "
,"Similes","التشبيهات"
,"Similes And Metaphors","التشبيهات والاستعارات"
,"Simple Complete Sentences","جمل كاملة بسيطة"
,"Simple Predicates","الخبر البسيط "
,"Simple Verb Tense Review","مراجعة الأفعال البسيطة "
,"Simple, Compound, And Complex Sentences","الجمل المعقدة والمركبة والبسيطة "
,"Single Nouns","الأسماء الفردية "
,"Spatial Sense","الحس المكاني"
,"Statistics","إحصائيات"
,"Subject And Object Pronouns","ضمائر الفاعل والمفعول به "
,"Subject And Predicate","المبتدأ والخبر "
,"Subject Pronouns","ضمائر الفاعل"
,"Subject-Verb Agreement","توافق الفعل مع الفاعل "
,"Subordinating Conjunctions","الروابط الداعمة "
,"Subtraction","الطرح "
,"Subtraction One Digit","طرح رقم فردي "
,"Subtraction Three Digit","طرح رقم ثلاثي  "
,"Subtraction Two Digit","طرح رقم ثنائي  "
,"Suffixes","اللواحق"
,"Synonyms","المرادفات "
,"Thesarus Skills","مهارات القاموس"
,"Time","الوقت "
,"Titles","الألقاب "
,"To Be And To Have","فعل يكون وفعل يملك "
,"Use of commas","استخدام الفواصل"
,"Vague Pronoun References","مراجع الضمائر الغامضة "
,"Verb Phrases","شبه الجملة الفعلية "
,"Verb-Actions Or To Be","أفعال الحركة أو فعل يكون "
,"Verbs","الأفعال "
,"Verbs Infinitive","الأفعال المصدرية "
,"Vocab Grade 1 A-C","كلمات الصف الأول A-C"
,"Vocab Grade 1 D-H","كلمات الصف الأول D-H"
,"Vocab Grade 1 I-L","كلمات الصف الأول I-L"
,"Vocab Grade 1 M-P","كلمات الصف الأول M-P"
,"Vocab Grade 1 Q-T","كلمات الصف الأول Q-T"
,"Vocab Grade 1 U-Z","كلمات الصف الأول U-Z"
,"Vocab Grade 2 A-C","كلمات الصف الثاني A-C"
,"Vocab Grade 2 D-H","كلمات الصف الثاني D-H"
,"Vocab Grade 2 I-L","كلمات الصف الثاني I-L"
,"Vocab Grade 2 M-P","كلمات الصف الثاني M-P"
,"Vocab Grade 2 Q-T","كلمات الصف الثاني Q-T"
,"Vocab Grade 2 U-Z","كلمات الصف الثاني U-Z"
,"Vocab Grade 3 A-C","كلمات الصف الثالث A-C"
,"Vocab Grade 3 D-H","كلمات الصف الثالث D-H"
,"Vocab Grade 3 I-L","كلمات الصف الثالث I-L"
,"Vocab Grade 3 M-P","كلمات الصف الثالث M-P"
,"Vocab Grade 3 Q-T","كلمات الصف الثالث Q-T"
,"Vocab Grade 3 U-Z","كلمات الصف الثالث U-Z"
,"Vocab Grade 4 A-C","كلمات الصف الرابع A-C"
,"Vocab Grade 4 D-H","كلمات الصف الرابع D-H"
,"Vocab Grade 4 I-L","كلمات الصف الرابع I-L"
,"Vocab Grade 4 M-P","كلمات الصف الرابع M-P"
,"Vocab Grade 4 Q-T","كلمات الصف الرابع Q-T"
,"Vocab Grade 4 U-Z","كلمات الصف الرابع U-Z"
,"Vocab Grade 5 A-C","كلمات الصف الخامس A-C"
,"Vocab Grade 5 D-H","كلمات الصف الخامس D-H"
,"Vocab Grade 5 I-L","كلمات الصف الخامس I-L"
,"Vocab Grade 5 M-P","كلمات الصف الخامس M-P"
,"Vocab Grade 5 Q-T","كلمات الصف الخامس Q-T"
,"Vocab Grade 5 U-Z","كلمات الصف الخامس U-Z"
,"Vocab Grade 6 A-C","كلمات الصف السادس A-C"
,"Vocab Grade 6 D-H","كلمات الصف السادس D-H"
,"Vocab Grade 6 I-L","كلمات الصف السادس I-L"
,"Vocab Grade 6 M-P","كلمات الصف السادس M-P"
,"Vocab Grade 6 Q-T","كلمات الصف السادس Q-T"
,"Vocab Grade 6 U-Z","كلمات الصف السادس U-Z"
,"Which, That ,Who Clause","جمل أي، ذلك، من "
,"Whole Numbers","الأعداد الكلية"
,"Word Order","ترتيب الكلمات "
